TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:16:34:20:865,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:34:22:072,0.000,160.000,0.000,0.343,-0.007,-0.939,-40.897,1.178,-3.387,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:16:34:22:190,2.131,218.683,354.229,-0.274,0.003,-0.962,-43.230,0.087,-1.359,SM_Plug_01a (4),-43.230,0.087,-1.361,车中车厢内部窗户皮,-43.865,0.095,-3.591,隧道,
2025:06:16:34:22:258,0.861,191.546,353.015,-0.003,0.008,-1.000,-42.542,0.114,-3.589,隧道,-43.230,0.087,-1.361,车中车厢内部窗户皮,-43.865,0.095,-3.591,隧道,
2025:06:16:34:22:311,1.714,177.475,352.241,0.184,-0.012,-0.983,-41.659,0.025,-3.598,隧道,-43.230,0.087,-1.361,车中车厢内部窗户皮,-43.865,0.095,-3.591,隧道,
2025:06:16:34:22:368,4.231,156.107,350.452,0.553,-0.046,-0.832,-39.483,-0.167,-3.584,隧道,-40.956,-0.045,-1.371,车中车厢内部窗户皮,-43.865,0.095,-3.591,隧道,
2025:06:16:34:22:392,4.930,152.438,350.126,0.762,-0.016,-0.648,-37.186,-0.032,-3.597,隧道,-40.956,-0.045,-1.371,车中车厢内部窗户皮,-43.865,0.095,-3.591,隧道,
2025:06:16:34:22:423,5.804,148.901,350.286,0.852,-0.013,-0.523,-35.155,-0.032,-3.597,隧道,-38.787,0.023,-1.366,车中车厢内部窗户皮,-43.865,0.095,-3.591,隧道,
2025:06:16:34:22:456,6.749,146.401,350.412,0.893,-0.025,-0.448,-38.257,-0.040,-1.218,SM_Plug_01a (5),-33.544,-0.173,-3.583,隧道,-43.865,0.095,-3.591,隧道,
2025:06:16:34:22:479,7.455,145.932,350.489,0.893,-0.048,-0.447,-33.565,-0.400,-3.561,隧道,-33.316,-0.262,-3.574,隧道,-43.865,0.095,-3.591,隧道,
2025:06:16:34:22:499,7.685,145.514,350.747,0.876,-0.072,-0.477,-34.301,-0.590,-3.542,隧道,-38.265,-0.263,-1.386,车中车厢内部窗户皮,-43.865,0.095,-3.591,隧道,
2025:06:16:34:22:523,8.139,145.649,350.911,0.869,-0.083,-0.488,-34.579,-0.673,-3.534,隧道,-38.394,-0.307,-1.389,车中车厢内部窗户皮,-43.865,0.095,-3.591,隧道,
2025:06:16:34:22:546,8.282,146.136,351.069,0.847,-0.089,-0.524,-35.251,-0.675,-3.558,隧道,-38.760,-0.306,-1.389,车中车厢内部窗户皮,-43.865,0.095,-3.591,隧道,
