TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:06:16:34:20:865,-42.499,0.000,0.996,0.084,101.760,-0.232,101.760,0.000,0.000,0.000,
2025:06:16:34:22:072,-42.499,-0.494,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:190,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:258,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:311,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:368,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:392,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:423,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:456,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:479,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:499,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:523,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:546,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:567,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:589,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:612,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:633,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:656,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:679,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:699,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:723,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:745,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:766,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:788,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:818,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:840,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:861,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:884,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:907,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:928,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:950,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:972,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:22:995,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:018,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:040,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:066,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:100,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:120,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:143,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:164,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:189,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:209,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:231,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:253,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:275,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:297,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:319,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:342,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:365,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:388,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:410,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:430,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:455,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:476,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:499,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:519,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:555,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:574,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:595,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:662,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:692,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:723,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:745,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:764,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:787,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:810,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:830,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:851,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:874,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:896,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:918,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:940,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:963,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:23:984,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:24:008,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:24:028,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:24:052,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:24:074,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:24:095,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:24:119,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:24:140,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:24:162,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:24:186,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:24:208,-42.500,-1.621,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:24:229,-42.504,-1.621,0.994,-0.112,0.000,-0.045,0.121,0.000,0.000,0.000,
2025:06:16:34:24:252,-42.509,-1.621,0.991,-0.310,0.000,-0.148,0.344,0.000,0.000,0.000,
2025:06:16:34:24:274,-42.512,-1.621,0.990,-0.184,0.000,-0.103,0.211,0.000,0.000,0.000,
2025:06:16:34:24:296,-42.512,-1.621,0.990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:24:319,-42.514,-1.621,0.987,-0.140,0.000,-0.147,0.203,0.000,0.000,0.000,
2025:06:16:34:24:340,-42.516,-1.621,0.984,-0.140,0.000,-0.170,0.220,-1.401,0.000,-1.475,
2025:06:16:34:24:371,-42.516,-1.621,0.984,0.000,0.000,0.000,0.000,-1.401,0.000,-1.475,
2025:06:16:34:24:392,-42.516,-1.621,0.984,0.000,0.000,0.000,0.000,-1.401,0.000,-1.475,
2025:06:16:34:24:413,-42.516,-1.621,0.984,0.000,0.000,0.000,0.000,-1.401,0.000,-1.475,
2025:06:16:34:24:436,-42.516,-1.621,0.984,0.000,0.000,0.000,0.000,1.401,0.000,1.475,
2025:06:16:34:24:459,-42.516,-1.621,0.984,0.000,0.000,0.000,0.000,1.401,0.000,1.475,
2025:06:16:34:24:480,-42.516,-1.621,0.984,0.000,0.000,0.000,0.000,1.401,0.000,1.475,
2025:06:16:34:24:505,-42.516,-1.621,0.984,0.000,0.000,0.000,0.000,1.401,0.000,1.475,
2025:06:16:34:24:525,-42.516,-1.621,0.984,0.000,0.000,0.000,0.000,1.401,0.000,1.475,
2025:06:16:34:24:563,-42.516,-1.621,0.984,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:24:581,-42.516,-1.621,0.984,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:24:605,-42.516,-1.621,0.984,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:16:34:24:628,-42.515,-1.621,0.982,0.082,0.000,-0.133,0.156,0.000,0.000,0.000,
2025:06:16:34:24:650,-42.514,-1.621,0.980,0.065,0.000,-0.103,0.122,0.817,0.000,-1.332,
2025:06:16:34:24:677,-42.514,-1.621,0.980,0.000,0.000,0.000,0.000,0.817,0.000,-1.332,
2025:06:16:34:24:701,-42.512,-1.621,0.978,0.000,0.000,0.000,0.000,0.817,0.000,-1.332,
2025:06:16:34:24:727,-42.511,-1.621,0.977,0.078,0.000,-0.095,0.123,0.817,0.000,-1.332,
2025:06:16:34:24:750,-42.508,-1.621,0.973,0.184,0.000,-0.213,0.281,-0.037,0.000,0.386,
