TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:10:51:56:582,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:51:57:790,0.000,160.000,0.000,0.168,-0.139,-0.976,-41.691,0.485,-3.552,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:51:57:913,347.051,265.301,357.179,-0.994,0.074,0.082,-46.552,0.369,1.309,车中车厢内部上部条纹,-46.502,0.366,1.305,underground-connection (2),-67.490,1.930,3.031,隧道,
2025:06:10:51:58:023,346.554,264.324,0.440,-0.994,0.087,0.067,-68.302,2.334,2.720,隧道,-46.502,0.366,1.305,underground-connection (2),-67.490,1.930,3.031,隧道,
2025:06:10:51:58:082,346.474,263.350,1.614,-0.995,0.081,0.052,-72.790,2.544,2.547,隧道,-46.502,0.366,1.305,underground-connection (2),-67.490,1.930,3.031,隧道,
2025:06:10:51:58:134,346.056,263.568,1.637,-0.995,0.079,0.055,-72.614,2.446,2.627,隧道,-46.502,0.366,1.305,underground-connection (2),-67.490,1.930,3.031,隧道,
2025:06:10:51:58:161,345.816,264.106,1.623,-0.993,0.071,0.091,-66.078,1.748,3.128,隧道,-46.503,0.366,1.286,underground-connection (2),-68.356,1.996,2.995,隧道,
2025:06:10:51:58:184,345.858,264.293,1.766,-0.993,0.063,0.103,-64.710,1.476,3.273,隧道,-46.503,0.366,1.286,underground-connection (2),-68.356,1.996,2.995,隧道,
2025:06:10:51:58:205,345.983,264.357,1.937,-0.993,0.053,0.105,-65.032,1.275,3.357,隧道,-46.503,0.366,1.286,underground-connection (2),-68.356,1.996,2.995,隧道,
2025:06:10:51:58:229,346.151,264.321,2.136,-0.993,0.034,0.113,-64.747,0.829,3.492,隧道,-46.503,0.366,1.286,underground-connection (2),-68.356,1.996,2.995,隧道,
2025:06:10:51:58:251,346.355,264.191,2.366,-0.994,0.032,0.105,-46.484,0.201,1.391,车中部车厢窗户外皮,-66.337,0.835,3.491,隧道,-68.356,1.996,2.995,隧道,
2025:06:10:51:58:271,346.520,263.952,2.578,-0.994,0.021,0.106,-46.484,0.159,1.393,车中部车厢窗户外皮,-66.625,0.580,3.543,隧道,-68.356,1.996,2.995,隧道,
2025:06:10:51:58:294,346.720,263.661,2.826,-0.995,0.021,0.097,-46.486,0.160,1.357,车中部车厢窗户外皮,-68.873,0.637,3.537,隧道,-68.356,1.996,2.995,隧道,
2025:06:10:51:58:314,346.903,263.215,3.075,-0.997,0.022,0.077,-46.504,0.165,1.281,underground-connection (2),-47.340,0.184,1.346,车中车厢内部窗户皮,-75.109,0.810,3.498,隧道,
2025:06:10:51:58:335,347.098,262.723,3.270,-0.994,-0.004,-0.107,-85.228,-0.109,-3.589,隧道,-96.057,1.121,3.404,隧道,-46.513,0.154,1.157,underground-connection (2),
2025:06:10:51:58:358,347.334,262.168,3.528,-0.972,-0.019,-0.236,-48.552,-0.036,-0.454,30,-61.387,-0.285,-3.572,隧道,-46.513,0.154,1.157,underground-connection (2),
2025:06:10:51:58:379,347.553,261.693,3.754,-0.948,-0.032,-0.318,-47.230,-0.076,-0.558,29,-56.194,-0.378,-3.563,隧道,-50.427,-0.130,-1.389,车中部车厢窗户外皮,
2025:06:10:51:58:400,347.836,261.196,3.983,-0.948,-0.041,-0.316,-47.207,-0.117,-0.543,29,-56.230,-0.505,-3.550,隧道,-50.427,-0.130,-1.389,车中部车厢窗户外皮,
2025:06:10:51:58:421,348.221,260.621,4.225,-0.948,-0.048,-0.314,-47.213,-0.155,-0.534,29,-56.301,-0.619,-3.539,隧道,-50.427,-0.130,-1.389,车中部车厢窗户外皮,
2025:06:10:51:58:444,348.520,260.200,4.339,-0.951,-0.051,-0.305,-47.223,-0.169,-0.491,29,-56.723,-0.683,-3.533,隧道,-50.427,-0.130,-1.389,车中部车厢窗户外皮,
2025:06:10:51:58:465,348.901,259.697,4.475,-0.951,-0.057,-0.303,-57.783,-0.824,-3.847,应急疏散平台左侧空气墙,-47.229,-0.195,-0.486,29,-56.736,-0.761,-3.513,隧道,
2025:06:10:51:58:487,349.155,259.331,4.462,-0.954,-0.058,-0.295,-57.381,-0.824,-3.578,应急疏散平台左侧空气墙,-47.251,-0.203,-0.449,29,-57.125,-0.808,-3.499,隧道,
2025:06:10:51:58:509,349.418,258.970,4.413,-0.953,-0.061,-0.297,-56.704,-0.824,-3.408,应急疏散平台左侧空气墙,-47.273,-0.218,-0.470,29,-56.965,-0.840,-3.489,隧道,
2025:06:10:51:58:531,349.596,258.698,4.342,-0.953,-0.061,-0.298,-56.811,-0.824,-3.460,应急疏散平台左侧空气墙,-47.292,-0.217,-0.482,29,-56.913,-0.830,-3.492,隧道,
2025:06:10:51:58:553,349.788,258.416,4.291,-0.953,-0.059,-0.296,-57.195,-0.824,-3.552,应急疏散平台左侧空气墙,-47.302,-0.210,-0.477,29,-57.018,-0.813,-3.497,隧道,
2025:06:10:51:58:574,349.931,258.225,4.223,-0.953,-0.060,-0.296,-57.009,-0.824,-3.498,应急疏散平台左侧空气墙,-47.339,-0.216,-0.490,29,-56.996,-0.823,-3.494,隧道,
