TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:07:10:31:03:989,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:10:31:05:175,0.000,160.000,0.000,0.408,-0.405,-0.818,-40.268,-0.957,-3.517,隧道,-41.344,0.112,-1.359,车中车厢内部窗户皮,-40.402,-0.824,-3.248,应急疏散平台左侧空气墙,
2025:07:10:31:05:266,51.763,133.664,356.733,0.236,-0.966,-0.102,-41.652,-2.950,0.576,道床,-41.957,-1.701,0.708,车中车内底板.001,-41.506,-3.549,0.513,隧道,
2025:07:10:31:05:317,51.263,137.592,356.143,0.243,-0.962,-0.122,-41.635,-2.950,0.504,道床,-41.950,-1.701,0.663,车中车内底板.001,-41.481,-3.558,0.427,隧道,
2025:07:10:31:05:374,51.253,138.927,355.774,0.250,-0.960,-0.126,-41.614,-2.950,0.491,道床,-41.938,-1.701,0.654,车中车内底板.001,-41.455,-3.559,0.411,隧道,
2025:07:10:31:05:420,51.455,140.878,355.340,0.248,-0.960,-0.129,-41.623,-2.950,0.477,道床,-41.946,-1.701,0.644,车中车内底板.001,-41.465,-3.561,0.394,隧道,
2025:07:10:31:05:438,51.438,140.954,355.181,0.254,-0.959,-0.126,-41.605,-2.950,0.485,道床,-41.935,-1.701,0.649,车中车内底板.001,-41.444,-3.560,0.405,隧道,
2025:07:10:31:05:462,51.401,141.156,355.055,0.256,-0.958,-0.126,-41.597,-2.950,0.485,道床,-41.931,-1.701,0.649,车中车内底板.001,-41.434,-3.560,0.404,隧道,
2025:07:10:31:05:485,51.306,141.227,354.921,0.260,-0.957,-0.126,-41.585,-2.950,0.484,道床,-41.923,-1.701,0.649,车中车内底板.001,-41.420,-3.560,0.404,隧道,
2025:07:10:31:05:506,51.208,141.125,354.764,0.266,-0.956,-0.124,-41.565,-2.950,0.490,道床,-41.912,-1.701,0.652,车中车内底板.001,-41.396,-3.559,0.411,隧道,
2025:07:10:31:05:528,50.999,141.088,354.572,0.272,-0.954,-0.124,-41.542,-2.950,0.488,道床,-41.898,-1.701,0.651,车中车内底板.001,-41.368,-3.559,0.409,隧道,
2025:07:10:31:05:550,50.754,140.940,354.408,0.282,-0.951,-0.124,-41.507,-2.950,0.490,道床,-41.877,-1.701,0.652,车中车内底板.001,-41.326,-3.559,0.410,隧道,
2025:07:10:31:05:573,50.513,140.829,354.215,0.285,-0.950,-0.128,-41.497,-2.950,0.475,道床,-41.872,-1.701,0.644,车中车内底板.001,-41.314,-3.561,0.393,隧道,
2025:07:10:31:05:595,50.170,140.761,354.071,0.285,-0.948,-0.140,-41.494,-2.950,0.437,道床,-41.870,-1.701,0.621,车中车内底板.001,-41.309,-3.565,0.346,隧道,
2025:07:10:31:05:617,49.962,140.692,353.908,0.288,-0.947,-0.144,-41.485,-2.950,0.423,道床,-41.864,-1.701,0.613,车中车内底板.001,-41.297,-3.567,0.329,隧道,
2025:07:10:31:05:639,49.769,140.593,353.824,0.286,-0.947,-0.148,-41.488,-2.950,0.409,道床,-41.866,-1.701,0.605,车中车内底板.001,-41.301,-3.569,0.312,隧道,
2025:07:10:31:05:662,49.500,140.522,353.825,0.288,-0.946,-0.152,-41.483,-2.950,0.397,道床,-41.863,-1.701,0.598,车中车内底板.001,-41.294,-3.570,0.297,隧道,
2025:07:10:31:05:683,49.314,140.618,353.947,0.287,-0.945,-0.156,-41.486,-2.950,0.385,道床,-41.865,-1.701,0.591,车中车内底板.001,-41.298,-3.572,0.283,隧道,
2025:07:10:31:05:707,49.183,140.788,354.034,0.285,-0.945,-0.158,-41.492,-2.950,0.378,道床,-41.868,-1.701,0.586,车中车内底板.001,-41.304,-3.572,0.274,隧道,
2025:07:10:31:05:728,49.071,140.947,354.181,0.282,-0.946,-0.160,-41.501,-2.950,0.370,道床,-41.874,-1.701,0.582,车中车内底板.001,-41.315,-3.573,0.264,隧道,
2025:07:10:31:05:751,48.930,140.939,354.317,0.281,-0.946,-0.162,-41.507,-2.950,0.364,道床,-41.877,-1.701,0.578,车中车内底板.001,-41.321,-3.574,0.256,隧道,
2025:07:10:31:05:772,48.798,140.957,354.482,0.279,-0.946,-0.165,-41.511,-2.950,0.356,道床,-41.880,-1.701,0.574,车中车内底板.001,-41.327,-3.575,0.248,隧道,
2025:07:10:31:05:795,48.741,141.150,354.559,0.277,-0.946,-0.166,-41.519,-2.950,0.351,道床,-41.885,-1.701,0.571,车中车内底板.001,-41.336,-3.576,0.241,隧道,
2025:07:10:31:05:817,48.648,141.540,354.541,0.274,-0.947,-0.169,-41.529,-2.950,0.343,道床,-41.891,-1.701,0.565,车中车内底板.001,-41.348,-3.577,0.231,隧道,
2025:07:10:31:05:838,48.487,142.059,354.563,0.273,-0.946,-0.173,-41.532,-2.950,0.328,道床,-41.893,-1.701,0.556,车中车内底板.001,-41.351,-3.578,0.213,隧道,
