TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:11:06:12:042,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:06:13:228,0.000,160.000,0.000,0.267,-0.054,-0.962,-41.251,0.966,-3.462,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:06:13:323,350.203,231.031,357.979,-0.820,0.112,-0.561,-48.998,0.951,-3.455,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:06:13:387,349.681,229.882,359.186,-0.812,0.122,-0.571,-48.794,1.008,-3.438,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:06:13:451,349.090,229.729,359.190,-0.807,0.131,-0.575,-48.680,1.065,-3.421,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:06:13:500,348.245,230.198,359.095,-0.814,0.144,-0.562,-48.826,1.177,-3.387,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:06:13:528,348.369,230.240,0.067,-0.803,0.142,-0.578,-48.594,1.135,-3.400,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:06:13:551,348.707,230.138,0.252,-0.801,0.135,-0.583,-48.556,1.082,-3.416,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:06:13:573,349.030,230.016,0.326,-0.802,0.099,-0.589,-48.607,0.819,-3.495,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:06:13:595,349.486,229.799,0.400,-0.802,0.081,-0.591,-48.635,0.685,-3.533,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:06:13:618,349.861,229.528,0.412,-0.800,0.070,-0.596,-48.580,0.601,-3.541,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:06:13:641,350.175,229.181,0.449,-0.795,0.054,-0.605,-48.467,0.479,-3.553,隧道,-45.556,0.280,-1.338,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
