TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:06:11:06:12:042,-42.500,0.000,1.000,0.000,101.760,0.000,101.760,0.000,0.000,0.000,
2025:06:11:06:13:228,-42.500,-0.494,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:13:323,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:13:387,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:13:451,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:13:500,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:13:528,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:13:551,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:13:573,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:13:595,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:13:618,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:13:641,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:13:662,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:13:685,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:13:708,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:13:729,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:13:751,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:13:774,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:13:795,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:13:819,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:13:841,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:13:862,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:13:887,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:13:906,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:13:928,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:13:951,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:13:973,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:13:996,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:14:017,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:14:041,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:14:061,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:14:084,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:14:105,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:14:130,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:14:150,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:14:173,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:14:196,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:14:217,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:14:239,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:14:261,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:14:284,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:14:305,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:14:329,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:14:361,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:14:383,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:14:404,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:14:428,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:14:449,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:06:14:471,-42.502,-1.621,1.001,-0.122,0.000,0.035,0.127,0.000,0.000,0.000,
2025:06:11:06:14:493,-42.506,-1.621,1.002,-0.109,0.000,0.033,0.114,0.000,0.000,0.000,
2025:06:11:06:14:515,-42.511,-1.621,1.003,-0.268,0.000,0.083,0.281,-1.092,0.000,0.332,
2025:06:11:06:14:539,-42.514,-1.621,1.004,-0.182,0.000,0.051,0.189,-1.092,0.000,0.332,
2025:06:11:06:14:560,-42.524,-1.621,1.007,-0.184,0.000,0.054,0.192,-1.092,0.000,0.332,
2025:06:11:06:14:582,-42.532,-1.621,1.010,-0.493,0.000,0.151,0.515,-1.092,0.000,0.332,
2025:06:11:06:14:606,-42.537,-1.621,1.011,-0.299,0.000,0.094,0.313,-1.092,0.000,0.332,
2025:06:11:06:14:628,-42.549,-1.621,1.015,-0.087,0.000,0.043,0.097,-1.897,0.000,0.610,
2025:06:11:06:14:649,-42.551,-1.621,1.016,-0.140,0.000,0.065,0.154,-1.897,0.000,0.610,
2025:06:11:06:14:671,-42.552,-1.621,1.017,-0.062,0.000,0.027,0.068,-1.897,0.000,0.610,
2025:06:11:06:14:705,-42.553,-1.621,1.017,0.000,0.000,0.000,0.000,-1.897,0.000,0.610,
2025:06:11:06:14:726,-42.554,-1.621,1.017,-0.074,0.000,0.025,0.078,2.245,0.000,-0.696,
2025:06:11:06:14:749,-42.554,-1.621,1.017,0.000,0.000,0.000,0.000,2.245,0.000,-0.696,
2025:06:11:06:14:770,-42.554,-1.621,1.017,0.000,0.000,0.000,0.000,2.245,0.000,-0.696,
2025:06:11:06:14:794,-42.554,-1.621,1.017,0.000,0.000,0.000,0.000,2.245,0.000,-0.696,
2025:06:11:06:14:815,-42.554,-1.621,1.017,0.000,0.000,0.000,0.000,2.245,0.000,-0.696,
2025:06:11:06:14:837,-42.554,-1.621,1.017,0.000,0.000,0.000,0.000,0.744,0.000,-0.246,
2025:06:11:06:14:860,-42.557,-1.621,1.018,-0.132,0.000,0.012,0.133,0.744,0.000,-0.246,
2025:06:11:06:14:882,-42.563,-1.621,1.018,-0.126,0.000,0.002,0.126,0.744,0.000,-0.246,
2025:06:11:06:14:904,-42.569,-1.621,1.018,-0.333,0.000,-0.005,0.333,0.744,0.000,-0.246,
2025:06:11:06:14:926,-42.573,-1.621,1.018,-0.221,0.000,-0.013,0.222,0.744,0.000,-0.246,
2025:06:11:06:14:948,-42.583,-1.621,1.017,-0.212,0.000,-0.024,0.213,-4.076,0.000,-0.335,
