TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:15:16:29:062,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:16:30:269,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:16:30:371,331.416,163.410,356.156,0.288,0.365,-0.885,-41.157,1.727,-3.139,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:16:30:451,331.470,163.878,354.626,0.288,0.348,-0.892,-41.154,1.652,-3.179,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:16:30:502,331.845,164.247,353.961,0.286,0.337,-0.897,-41.164,1.605,-3.205,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:16:30:551,331.557,165.238,353.149,0.272,0.338,-0.901,-41.237,1.600,-3.207,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:16:30:574,331.266,166.172,353.044,0.140,0.324,-0.936,-41.848,1.504,-3.258,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:16:30:595,331.271,166.973,353.123,0.083,0.317,-0.945,-42.101,1.465,-3.279,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:16:30:618,331.462,167.970,352.987,0.006,0.304,-0.953,-42.442,1.406,-3.311,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:16:30:640,331.659,169.113,352.712,-0.023,0.299,-0.954,-42.572,1.388,-3.320,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:16:30:662,331.851,170.386,352.455,-0.036,0.299,-0.954,-42.634,1.388,-3.321,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:16:30:696,332.116,172.354,352.114,-0.080,0.295,-0.952,-42.830,1.375,-3.327,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:16:30:717,332.222,173.798,351.933,-0.107,0.293,-0.950,-42.954,1.366,-3.330,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:16:30:740,332.408,175.243,351.772,-0.134,0.289,-0.948,-43.081,1.353,-3.333,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:16:30:763,332.669,176.757,351.574,-0.163,0.283,-0.945,-43.213,1.335,-3.339,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:16:30:785,332.974,178.212,351.354,-0.188,0.279,-0.942,-43.331,1.321,-3.343,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:16:30:806,333.348,179.715,351.135,-0.210,0.276,-0.938,-43.439,1.311,-3.346,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:16:30:828,333.698,181.095,351.056,-0.229,0.271,-0.935,-43.533,1.298,-3.350,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:16:30:851,333.932,182.462,351.047,-0.246,0.270,-0.931,-43.619,1.295,-3.351,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:16:30:861,334.064,183.081,351.181,-0.253,0.269,-0.929,-43.653,1.295,-3.351,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:16:30:898,334.683,184.695,351.880,-0.262,0.266,-0.927,-43.702,1.286,-3.354,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:16:30:918,335.214,185.771,352.169,-0.276,0.259,-0.926,-43.771,1.259,-3.362,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:16:30:940,336.005,186.730,352.535,-0.283,0.249,-0.926,-43.809,1.215,-3.375,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:16:30:962,337.126,187.598,352.963,-0.292,0.227,-0.929,-43.857,1.118,-3.405,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:16:30:984,338.480,188.453,353.286,-0.312,0.131,-0.941,-43.974,0.690,-3.532,隧道,-43.240,0.381,-1.315,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:15:16:31:006,339.948,189.203,353.786,-0.370,-0.058,-0.927,-43.411,-0.061,-1.372,车中车厢内部窗户皮,-43.342,-0.050,-1.199,SM_Plug_01a (4),-44.291,-0.200,-3.580,隧道,
2025:06:15:16:31:030,341.608,189.765,354.386,-0.361,-0.082,-0.929,-43.391,-0.118,-1.376,车中车厢内部窗户皮,-43.322,-0.103,-1.199,SM_Plug_01a (4),-44.243,-0.312,-3.569,隧道,
2025:06:15:16:31:051,343.364,190.314,354.788,-0.390,-0.147,-0.909,-43.488,-0.284,-1.387,车中车厢内部窗户皮,-44.410,-0.633,-3.538,隧道,-44.243,-0.312,-3.569,隧道,
2025:06:15:16:31:073,345.175,190.839,355.139,-0.376,-0.131,-0.917,-43.446,-0.241,-1.384,车中车厢内部窗户皮,-44.332,-0.550,-3.546,隧道,-44.243,-0.312,-3.569,隧道,
2025:06:15:16:31:094,346.869,191.305,355.459,-0.370,-0.153,-0.916,-43.435,-0.296,-1.388,车中车厢内部窗户皮,-44.303,-0.656,-3.535,隧道,-44.243,-0.312,-3.569,隧道,
2025:06:15:16:31:117,348.576,191.664,355.919,-0.365,-0.188,-0.912,-44.278,-0.824,-3.517,应急疏散平台左侧空气墙,-43.429,-0.385,-1.395,车中车厢内部窗户皮,-44.293,-0.831,-3.555,隧道,
2025:06:15:16:31:139,350.307,191.941,356.627,-0.356,-0.166,-0.920,-43.400,-0.326,-1.390,车中车厢内部窗户皮,-44.229,-0.711,-3.528,隧道,-44.312,-0.893,-3.536,隧道,
2025:06:15:16:31:161,352.029,192.287,357.336,-0.348,-0.179,-0.920,-44.287,-0.824,-3.793,应急疏散平台左侧空气墙,-43.381,-0.358,-1.393,车中车厢内部窗户皮,-44.181,-0.769,-3.511,隧道,
2025:06:15:16:31:184,353.728,192.652,358.072,-0.349,-0.185,-0.919,-44.233,-0.824,-3.621,应急疏散平台左侧空气墙,-43.387,-0.375,-1.394,车中车厢内部窗户皮,-44.187,-0.799,-3.501,隧道,
2025:06:15:16:31:205,355.148,193.151,358.608,-0.353,-0.192,-0.916,-44.195,-0.824,-3.459,应急疏散平台左侧空气墙,-43.400,-0.392,-1.395,车中车厢内部窗户皮,-44.208,-0.830,-3.492,隧道,
2025:06:15:16:31:228,355.890,194.137,359.069,-0.365,-0.185,-0.913,-44.310,-0.824,-3.584,应急疏散平台左侧空气墙,-43.435,-0.378,-1.394,车中车厢内部窗户皮,-44.300,-0.818,-3.559,隧道,
2025:06:15:16:31:251,356.255,195.754,359.747,-0.390,-0.186,-0.902,-44.435,-0.824,-3.521,应急疏散平台左侧空气墙,-43.515,-0.385,-1.395,车中车厢内部窗户皮,-44.450,-0.831,-3.555,隧道,
2025:06:15:16:31:272,356.941,197.483,0.751,-0.422,-0.178,-0.889,-44.682,-0.824,-3.651,应急疏散平台左侧空气墙,-43.612,-0.372,-1.394,车中车厢内部窗户皮,-44.612,-0.794,-3.503,隧道,
2025:06:15:16:31:295,357.509,198.814,1.957,-0.473,-0.143,-0.870,-43.769,-0.291,-1.388,车中车厢内部窗户皮,-44.936,-0.644,-3.537,隧道,-44.612,-0.794,-3.503,隧道,
2025:06:15:16:31:317,358.927,199.724,3.128,-0.484,-0.144,-0.863,-43.811,-0.295,-1.388,车中车厢内部窗户皮,-45.015,-0.653,-3.536,隧道,-44.612,-0.794,-3.503,隧道,
2025:06:15:16:31:338,0.403,200.497,3.703,-0.497,-0.162,-0.852,-45.320,-0.824,-3.884,应急疏散平台左侧空气墙,-43.866,-0.350,-1.392,车中车厢内部窗户皮,-45.105,-0.753,-3.515,隧道,
2025:06:15:16:31:362,1.501,201.244,3.771,-0.501,-0.160,-0.851,-43.881,-0.345,-1.392,车中车厢内部窗户皮,-45.133,-0.744,-3.518,隧道,-45.097,-0.768,-3.511,隧道,
2025:06:15:16:31:388,2.274,201.990,4.219,-0.498,-0.179,-0.848,-45.060,-0.824,-3.403,应急疏散平台左侧空气墙,-43.881,-0.399,-1.396,车中车厢内部窗户皮,-45.110,-0.842,-3.489,隧道,
2025:06:15:16:31:409,3.250,202.568,4.607,-0.485,-0.157,-0.860,-43.828,-0.332,-1.391,车中车厢内部窗户皮,-45.032,-0.722,-3.525,隧道,-45.148,-0.790,-3.504,隧道,
2025:06:15:16:31:433,4.224,203.173,4.616,-0.489,-0.161,-0.858,-43.843,-0.345,-1.392,车中车厢内部窗户皮,-45.054,-0.745,-3.518,隧道,-45.056,-0.776,-3.509,隧道,
2025:06:15:16:31:455,4.728,203.729,4.749,-0.483,-0.161,-0.861,-43.826,-0.344,-1.392,车中车厢内部窗户皮,-45.021,-0.742,-3.519,隧道,-45.056,-0.776,-3.509,隧道,
2025:06:15:16:31:477,5.268,204.045,4.902,-0.479,-0.155,-0.864,-43.809,-0.326,-1.390,车中车厢内部窗户皮,-44.993,-0.709,-3.529,隧道,-45.037,-0.766,-3.512,隧道,
