TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:09:24:55:507,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:24:56:659,0.000,160.000,0.000,0.294,-0.010,-0.956,-141.133,1.065,-3.421,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:24:56:751,359.092,236.462,354.230,-0.860,0.000,-0.510,-146.486,0.079,-1.372,车中部车厢窗户外皮,-150.229,0.080,-3.592,隧道,0.000,0.000,0.000,Null,
2025:06:09:24:56:888,359.094,236.662,354.038,-0.862,0.000,-0.507,-146.496,0.078,-1.362,车中车厢内部窗户皮,-150.285,0.078,-3.592,隧道,0.000,0.000,0.000,Null,
2025:06:09:24:56:944,359.162,236.882,353.959,-0.863,-0.001,-0.505,-146.524,0.073,-1.362,车中车厢内部窗户皮,-150.339,0.068,-3.593,隧道,0.000,0.000,0.000,Null,
2025:06:09:24:56:992,359.180,236.917,353.940,-0.863,-0.001,-0.505,-146.521,0.072,-1.362,车中车厢内部窗户皮,-150.334,0.065,-3.594,隧道,0.000,0.000,0.000,Null,
2025:06:09:24:57:012,359.175,236.885,353.926,-0.863,0.013,-0.505,-146.512,0.138,-1.356,车中车厢内部窗户皮,-150.313,0.197,-3.581,隧道,0.000,0.000,0.000,Null,
2025:06:09:24:57:034,359.190,236.862,353.939,-0.863,0.020,-0.505,-146.508,0.170,-1.353,车中车厢内部窗户皮,-150.305,0.260,-3.574,隧道,0.000,0.000,0.000,Null,
2025:06:09:24:57:066,359.208,236.846,353.960,-0.863,0.030,-0.504,-146.508,0.216,-1.348,车中车厢内部窗户皮,-150.309,0.350,-3.566,隧道,0.000,0.000,0.000,Null,
2025:06:09:24:57:088,359.227,236.841,353.976,-0.863,0.034,-0.503,-146.501,0.230,-1.342,车中车厢内部上部条纹,-150.310,0.379,-3.563,隧道,0.000,0.000,0.000,Null,
2025:06:09:24:57:116,359.260,236.832,354.021,-0.863,0.037,-0.503,-146.497,0.245,-1.340,车中车厢内部上部条纹,-150.304,0.409,-3.560,隧道,0.000,0.000,0.000,Null,
2025:06:09:24:57:137,359.260,236.822,354.034,-0.863,0.040,-0.503,-146.496,0.257,-1.338,车中车厢内部上部条纹,-150.305,0.432,-3.557,隧道,0.000,0.000,0.000,Null,
