TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:10:18:55:880,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:18:57:129,0.000,160.000,0.000,0.316,-0.087,-0.945,-40.982,0.708,-3.529,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:18:57:251,9.110,81.807,0.462,0.951,-0.271,0.151,-34.550,-2.142,2.263,隧道右侧空气墙,-33.019,-2.578,2.506,隧道,0.000,0.000,0.000,Null,
2025:06:10:18:57:300,8.326,81.117,0.503,0.951,-0.262,0.163,-34.300,-2.142,2.404,隧道右侧空气墙,-33.110,-2.470,2.608,隧道,0.000,0.000,0.000,Null,
2025:06:10:18:57:381,7.820,80.829,0.538,0.951,-0.261,0.166,-34.277,-2.142,2.430,隧道右侧空气墙,-33.161,-2.449,2.625,隧道,0.000,0.000,0.000,Null,
2025:06:10:18:57:422,7.288,80.695,0.615,0.965,-0.201,0.170,-31.753,-2.128,2.888,隧道,-33.135,-2.440,2.632,隧道,0.000,0.000,0.000,Null,
2025:06:10:18:57:446,6.996,80.651,0.654,0.974,-0.150,0.172,-30.454,-1.755,3.124,隧道,-33.135,-2.440,2.632,隧道,0.000,0.000,0.000,Null,
2025:06:10:18:57:468,6.802,80.630,0.657,0.981,-0.092,0.173,-28.971,-1.180,3.386,隧道,-33.135,-2.440,2.632,隧道,0.000,0.000,0.000,Null,
2025:06:10:18:57:491,6.609,80.615,0.634,0.984,-0.049,0.171,-27.919,-0.633,3.538,隧道,-33.135,-2.440,2.632,隧道,0.000,0.000,0.000,Null,
2025:06:10:18:57:512,6.383,80.590,0.596,0.983,-0.034,0.178,-28.364,-0.402,3.560,隧道,-33.135,-2.440,2.632,隧道,0.000,0.000,0.000,Null,
2025:06:10:18:57:535,6.230,80.577,0.554,0.984,-0.012,0.179,-28.226,-0.101,3.590,隧道,-33.135,-2.440,2.632,隧道,0.000,0.000,0.000,Null,
2025:06:10:18:57:558,6.108,80.580,0.521,0.984,0.005,0.179,-28.251,0.146,3.586,隧道,-33.135,-2.440,2.632,隧道,0.000,0.000,0.000,Null,
2025:06:10:18:57:580,5.955,80.591,0.483,0.984,0.029,0.179,-28.429,0.491,3.552,隧道,-40.552,0.132,1.351,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:18:57:601,5.870,80.603,0.454,0.983,0.044,0.179,-28.561,0.692,3.532,隧道,-40.568,0.158,1.349,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:18:57:623,5.827,80.624,0.433,0.984,0.060,0.166,-27.927,0.955,3.454,隧道,-40.451,0.194,1.345,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:18:57:646,5.845,80.647,0.446,0.985,0.059,0.163,-27.650,0.964,3.451,隧道,-40.413,0.195,1.345,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:18:57:667,5.853,80.677,0.450,0.986,0.053,0.155,-26.842,0.908,3.469,隧道,-40.314,0.187,1.345,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:18:57:691,5.848,80.723,0.462,0.988,0.046,0.147,-25.826,0.847,3.487,隧道,-40.190,0.179,1.346,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:18:57:713,5.845,80.760,0.485,0.989,0.039,0.140,-24.736,0.772,3.510,隧道,-40.059,0.169,1.348,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:18:57:735,5.842,80.802,0.508,0.990,0.036,0.136,-24.197,0.735,3.521,隧道,-39.995,0.164,1.348,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:18:57:755,5.847,80.833,0.525,0.990,0.034,0.135,-23.951,0.717,3.527,隧道,-39.965,0.161,1.348,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:18:57:780,5.851,80.863,0.525,0.991,0.030,0.131,-23.373,0.646,3.536,隧道,-39.893,0.152,1.349,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:18:57:801,5.872,80.901,0.521,0.991,0.027,0.130,-23.095,0.609,3.540,隧道,-39.856,0.147,1.350,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:18:57:824,5.911,80.932,0.496,0.991,0.025,0.128,-22.862,0.564,3.544,隧道,-39.826,0.141,1.350,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:18:57:845,5.985,80.982,0.468,0.992,0.023,0.127,-22.638,0.533,3.547,隧道,-39.796,0.138,1.351,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:18:57:867,6.093,81.030,0.431,0.992,0.020,0.125,-22.302,0.487,3.552,隧道,-39.752,0.131,1.351,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:10:18:57:890,6.220,81.098,0.387,0.992,0.018,0.124,-39.568,0.129,1.370,车中部车厢窗户外皮,-22.022,0.445,3.556,隧道,0.000,0.000,0.000,Null,
2025:06:10:18:57:912,6.553,81.188,0.260,0.993,0.012,0.122,-21.584,0.323,3.568,隧道,-22.022,0.445,3.556,隧道,0.000,0.000,0.000,Null,
2025:06:10:18:57:935,6.895,81.311,0.184,0.993,0.005,0.119,-19.943,0.182,3.713,隧道,-21.027,0.177,3.583,隧道,0.000,0.000,0.000,Null,
2025:06:10:18:57:956,7.349,81.473,0.072,0.993,-0.008,0.114,-19.943,-0.111,3.597,隧道,-20.014,-0.111,3.589,隧道,0.000,0.000,0.000,Null,
2025:06:10:18:57:979,7.831,81.711,359.945,0.993,-0.088,0.077,-17.798,-2.089,2.920,隧道,-38.026,-0.303,1.356,车中车厢左车门3-2,-37.356,-0.362,1.408,车中车厢左车门3-1,
2025:06:10:18:58:002,8.307,82.050,359.847,0.983,-0.180,0.033,-35.464,-1.180,1.251,车中车厢座椅,-32.607,-1.701,1.346,车中车内底板.001,-24.423,-3.197,1.620,隧道,
2025:06:10:18:58:022,8.777,82.371,359.726,0.978,-0.210,0.009,-35.811,-1.328,1.082,车中车厢座椅,-34.077,-1.701,1.099,车中车内底板.001,-26.239,-3.388,1.174,隧道,
2025:06:10:18:58:052,9.447,83.044,359.577,0.972,-0.233,-0.012,-36.478,-1.328,0.945,车中车厢座椅,-34.921,-1.701,0.926,车中车内底板.001,-27.449,-3.491,0.832,隧道,
2025:06:10:18:58:074,9.657,83.616,359.569,0.965,-0.260,-0.036,-36.589,-1.473,0.803,车中车厢座椅,-35.739,-1.701,0.772,车中车内底板.001,-28.876,-3.549,0.518,隧道,
2025:06:10:18:58:096,10.131,84.171,359.444,0.970,-0.243,-0.029,-36.589,-1.366,0.844,车中车厢座椅,-35.252,-1.701,0.805,车中车内底板.001,-27.911,-3.542,0.587,隧道,
2025:06:10:18:58:117,10.461,84.883,359.373,0.963,-0.266,-0.052,-35.909,-1.701,0.664,车中车内底板.001,-29.145,-3.570,0.297,隧道,-31.390,-2.950,0.418,道床,
2025:06:10:18:58:141,10.647,85.540,359.322,0.965,-0.256,-0.055,-35.634,-1.701,0.627,车中车内底板.001,-28.555,-3.578,0.222,隧道,-30.923,-2.950,0.357,道床,
2025:06:10:18:58:162,10.821,86.201,359.292,0.968,-0.243,-0.056,-35.268,-1.701,0.597,车中车内底板.001,-27.780,-3.583,0.161,隧道,-30.300,-2.950,0.308,道床,
2025:06:10:18:58:184,10.901,86.899,359.308,0.969,-0.238,-0.062,-35.109,-1.701,0.545,车中车内底板.001,-27.410,-3.594,0.052,隧道,-30.030,-2.950,0.220,道床,
2025:06:10:18:58:207,11.079,87.671,359.235,0.968,-0.239,-0.074,-35.127,-1.701,0.457,车中车内底板.001,-27.470,-3.588,-0.126,隧道,-30.061,-2.950,0.071,道床,
2025:06:10:18:58:228,11.208,88.465,359.182,0.969,-0.233,-0.082,-34.951,-1.701,0.380,车中车内底板.001,-27.169,-3.573,-0.276,隧道,-29.761,-2.950,-0.058,道床,
2025:06:10:18:58:251,11.316,89.081,359.162,0.968,-0.233,-0.090,-34.965,-1.701,0.312,车中车内底板.001,-27.253,-3.560,-0.408,隧道,-29.785,-2.950,-0.171,道床,
2025:06:10:18:58:273,11.472,89.791,359.174,0.967,-0.235,-0.097,-35.008,-1.701,0.268,车中车内底板.001,-27.376,-3.552,-0.493,隧道,-29.858,-2.950,-0.246,道床,
2025:06:10:18:58:295,11.675,90.484,359.211,0.966,-0.237,-0.105,-35.089,-1.701,0.210,车中车内底板.001,-27.587,-3.541,-0.605,隧道,-29.996,-2.950,-0.343,道床,
2025:06:10:18:58:318,11.947,91.162,359.238,0.964,-0.241,-0.113,-35.218,-1.701,0.163,车中车内底板.001,-27.885,-3.532,-0.694,隧道,-30.215,-2.950,-0.422,道床,
2025:06:10:18:58:342,12.143,91.990,359.287,0.955,-0.257,-0.150,-35.747,-1.701,-0.046,车中车内底板.001,-29.356,-3.424,-1.054,隧道,-31.115,-2.950,-0.776,道床,
2025:06:10:18:58:364,12.395,92.717,359.281,0.910,-0.323,-0.261,-37.344,-1.701,-0.443,车中车内底板.001,-33.170,-3.186,-1.640,隧道,-33.833,-2.950,-1.450,道床,
2025:06:10:18:58:385,12.703,93.411,359.206,0.889,-0.341,-0.307,-37.705,-1.701,-0.611,车中车内底板.001,-34.122,-3.075,-1.848,隧道,-34.447,-2.950,-1.735,道床,
2025:06:10:18:58:408,12.856,94.202,359.148,0.876,-0.351,-0.332,-37.907,-1.701,-0.694,车中车内底板.001,-34.606,-3.024,-1.943,隧道,-34.790,-2.950,-1.874,道床,
2025:06:10:18:58:430,13.106,94.976,358.927,0.872,-0.355,-0.338,-37.983,-1.701,-0.706,车中车内底板.001,-34.756,-3.016,-1.957,隧道,-34.919,-2.950,-1.894,道床,
2025:06:10:18:58:451,13.175,95.768,358.847,0.863,-0.362,-0.351,-38.110,-1.701,-0.739,车中车内底板.001,-35.025,-2.997,-1.994,隧道,-35.136,-2.950,-1.949,道床,
2025:06:10:18:58:474,13.275,96.596,358.648,0.862,-0.361,-0.355,-38.099,-1.701,-0.768,车中车内底板.001,-35.054,-2.976,-2.021,隧道,-35.116,-2.950,-1.996,道床,
2025:06:10:18:58:497,13.384,97.489,358.550,0.858,-0.363,-0.364,-38.147,-1.701,-0.803,车中车内底板.001,-35.200,-2.949,-2.054,隧道,-35.198,-2.950,-2.055,道床,
2025:06:10:18:58:518,13.553,98.518,358.446,0.854,-0.363,-0.373,-38.170,-1.701,-0.849,车中车内底板.001,-35.317,-2.916,-2.095,隧道,-35.236,-2.950,-2.130,道床,
2025:06:10:18:58:540,13.731,99.268,358.399,0.851,-0.363,-0.380,-38.175,-1.701,-0.890,车中车内底板.001,-35.398,-2.885,-2.132,隧道,-35.236,-2.950,-2.130,道床,
2025:06:10:18:58:562,13.856,100.158,358.384,0.847,-0.361,-0.390,-38.179,-1.701,-0.948,车中车内底板.001,-35.499,-2.844,-2.182,隧道,-35.236,-2.950,-2.130,道床,
2025:06:10:18:58:585,14.026,101.352,358.277,0.841,-0.361,-0.402,-38.646,-1.512,-0.802,车中车厢座椅,-38.205,-1.701,-1.013,车中车内底板.001,-35.646,-2.799,-2.236,隧道,
2025:06:10:18:58:607,14.057,102.375,358.177,0.833,-0.363,-0.418,-38.831,-1.458,-0.802,车中车厢座椅,-38.274,-1.701,-1.082,车中车内底板.001,-35.863,-2.753,-2.293,隧道,
2025:06:10:18:58:629,14.054,103.489,358.089,0.828,-0.362,-0.429,-38.947,-1.410,-0.803,车中车厢座椅,-38.280,-1.701,-1.150,车中车内底板.001,-35.973,-2.709,-2.347,隧道,
2025:06:10:18:58:651,14.070,105.010,358.011,0.817,-0.362,-0.448,-39.110,-1.361,-0.820,车中车厢座椅,-38.343,-1.701,-1.241,车中车内底板.001,-36.202,-2.652,-2.417,隧道,
2025:06:10:18:58:673,13.986,106.397,357.683,0.797,-0.348,-0.493,-39.137,-1.328,-1.035,车中车厢座椅,-38.283,-1.701,-1.563,车中车内底板.001,-38.474,-1.618,-1.445,车中车厢内部下部条纹,
2025:06:10:18:58:696,13.966,107.610,357.644,0.772,-0.295,-0.563,-37.844,-1.650,-2.341,planty,-39.323,-1.083,-1.261,车中车厢座椅,-39.077,-1.178,-1.440,车中车厢内部下部条纹,
2025:06:10:18:58:719,13.978,109.090,357.631,0.750,-0.249,-0.612,-39.586,-0.843,-1.312,车中车厢座椅,-37.272,-1.612,-3.201,隧道,-39.442,-0.891,-1.430,车中车厢内部中部条纹,
2025:06:10:18:58:741,13.999,110.572,357.650,0.733,-0.238,-0.637,-39.710,-0.780,-1.357,车中车厢座椅,-37.515,-1.492,-3.265,隧道,-39.631,-0.806,-1.425,车中车厢内部窗户皮,
2025:06:10:18:58:762,13.999,111.970,357.706,0.721,-0.227,-0.655,-39.718,-0.752,-1.458,车中部车厢窗户外皮,-37.672,-1.395,-3.316,隧道,-37.965,-1.303,-3.050,应急疏散平台左侧空气墙,
2025:06:10:18:58:785,13.988,113.921,357.636,0.706,-0.220,-0.673,-37.873,-1.318,-3.344,隧道,-38.181,-1.222,-3.050,应急疏散平台左侧空气墙,-37.965,-1.303,-3.050,应急疏散平台左侧空气墙,
2025:06:10:18:58:807,13.937,115.136,357.599,0.699,-0.219,-0.681,-37.964,-1.302,-3.349,隧道,-38.271,-1.205,-3.050,应急疏散平台左侧空气墙,-37.965,-1.303,-3.050,应急疏散平台左侧空气墙,
2025:06:10:18:58:830,13.876,116.777,357.533,0.683,-0.222,-0.695,-38.155,-1.290,-3.352,隧道,-38.452,-1.194,-3.050,应急疏散平台左侧空气墙,-37.965,-1.303,-3.050,应急疏散平台左侧空气墙,
2025:06:10:18:58:852,13.858,118.610,357.476,0.663,-0.225,-0.714,-38.390,-1.273,-3.358,隧道,-38.675,-1.176,-3.050,应急疏散平台左侧空气墙,-37.965,-1.303,-3.050,应急疏散平台左侧空气墙,
2025:06:10:18:58:874,13.852,120.153,357.464,0.649,-0.231,-0.725,-38.536,-1.284,-3.354,隧道,-38.809,-1.187,-3.050,应急疏散平台左侧空气墙,-37.965,-1.303,-3.050,应急疏散平台左侧空气墙,
2025:06:10:18:58:896,13.827,121.886,357.417,0.636,-0.233,-0.736,-38.678,-1.274,-3.357,隧道,-38.943,-1.177,-3.050,应急疏散平台左侧空气墙,-37.965,-1.303,-3.050,应急疏散平台左侧空气墙,
2025:06:10:18:58:918,13.810,123.904,357.305,0.622,-0.232,-0.748,-38.819,-1.248,-3.365,隧道,-39.081,-1.150,-3.050,应急疏散平台左侧空气墙,-37.965,-1.303,-3.050,应急疏散平台左侧空气墙,
2025:06:10:18:58:942,13.897,125.952,357.290,0.602,-0.234,-0.764,-39.006,-1.232,-3.370,隧道,-39.258,-1.134,-3.050,应急疏散平台左侧空气墙,-37.965,-1.303,-3.050,应急疏散平台左侧空气墙,
