TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:07:14:42:27:143,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:068,345.756,264.815,2.444,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:120,346.946,270.249,0.429,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:199,350.005,271.279,0.933,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:248,349.631,273.634,1.066,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:266,349.585,273.916,1.269,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:286,349.415,274.459,1.432,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:319,349.460,274.972,1.773,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:342,349.446,274.927,2.257,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:364,349.408,274.728,2.534,-0.957,0.236,0.171,-51.995,2.384,2.679,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:396,349.074,274.255,2.669,-0.958,0.241,0.152,-52.404,2.536,2.554,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:418,348.626,273.927,2.414,-0.967,0.246,0.061,-54.618,3.119,1.765,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:442,348.381,273.699,2.227,-0.968,0.250,0.016,-55.420,3.372,1.225,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:464,348.199,273.479,2.043,-0.967,0.254,0.016,-55.219,3.374,1.220,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:484,348.026,273.304,1.763,-0.966,0.258,0.015,-55.020,3.379,1.204,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:507,347.801,273.148,1.450,-0.964,0.264,0.015,-54.717,3.382,1.191,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:529,347.507,272.906,1.213,-0.963,0.270,0.012,-54.452,3.394,1.153,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:551,347.241,272.636,1.007,-0.961,0.277,0.010,-54.173,3.402,1.125,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:573,346.949,272.295,0.765,-0.959,0.284,0.006,-53.931,3.416,1.081,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:596,346.639,271.872,0.483,-0.957,0.290,0.001,-53.740,3.437,1.013,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:618,346.315,271.412,0.190,-0.955,0.297,-0.005,-53.512,3.457,0.945,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:640,346.123,270.888,359.933,-0.953,0.302,-0.010,-53.368,3.475,0.885,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:663,346.054,270.261,359.723,-0.952,0.307,-0.015,-53.216,3.490,0.836,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:685,346.295,269.544,359.422,-0.952,0.304,-0.025,-53.451,3.531,0.717,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:707,346.783,268.806,359.214,-0.953,0.300,-0.033,-53.661,3.540,0.614,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:729,347.404,268.048,359.099,-0.956,0.292,-0.042,-54.026,3.552,0.491,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:752,347.954,267.290,359.094,-0.957,0.288,-0.047,-54.225,3.558,0.423,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:773,348.467,266.546,359.110,-0.956,0.282,-0.083,-54.550,3.595,-0.048,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:795,348.987,265.777,359.119,-0.967,0.215,-0.138,-57.551,3.398,-1.141,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:818,349.374,265.069,359.107,-0.981,0.112,-0.158,-64.497,2.562,-2.525,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:840,349.638,264.495,359.076,-0.982,0.087,-0.165,-65.706,2.125,-2.891,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:14:42:28:862,349.898,264.012,359.035,-0.986,0.009,-0.164,-56.705,0.211,-1.349,车中车厢内部窗户皮,-70.069,0.336,-3.567,隧道,0.000,0.000,0.000,Null,
2025:07:14:42:28:885,350.157,263.489,359.072,-0.985,0.005,-0.173,-55.995,0.143,-1.356,车中车厢内部窗户皮,-68.684,0.203,-3.580,隧道,0.000,0.000,0.000,Null,
2025:07:14:42:28:907,350.350,262.825,359.213,-0.984,-0.032,-0.174,-56.104,-0.358,-1.393,车中车厢内部窗户皮,-68.144,-0.748,-3.517,隧道,0.000,0.000,0.000,Null,
2025:07:14:42:28:929,350.485,262.132,359.324,-0.982,-0.045,-0.183,-64.259,-0.902,-3.050,应急疏散平台左侧空气墙,-55.539,-0.507,-1.424,车中部车厢窗户外皮,-66.357,-0.998,-3.441,隧道,
2025:07:14:42:28:952,350.588,261.310,359.446,-0.979,-0.076,-0.190,-63.401,-1.536,-3.050,应急疏散平台左侧空气墙,-64.212,-1.600,-3.207,隧道,-65.246,-1.466,-3.279,隧道,
2025:07:14:42:28:974,350.597,260.432,359.501,-0.977,-0.077,-0.201,-62.178,-1.455,-3.050,应急疏散平台左侧空气墙,-53.827,-0.799,-1.329,车中车厢座椅,-63.124,-1.529,-3.245,隧道,
2025:07:14:42:28:996,350.724,259.413,359.492,-0.974,-0.072,-0.215,-60.867,-1.266,-3.050,应急疏散平台左侧空气墙,-53.480,-0.721,-1.419,车中车厢内部窗户皮,-62.141,-1.360,-3.331,隧道,
2025:07:14:42:29:023,350.983,257.903,359.551,-0.969,-0.067,-0.236,-59.155,-1.057,-3.050,应急疏散平台左侧空气墙,-60.568,-1.154,-3.394,隧道,-61.636,-1.257,-3.362,隧道,
2025:07:14:42:29:045,351.088,256.503,359.490,-0.940,-0.049,-0.337,-55.223,-0.573,-3.544,隧道,-50.473,-0.347,-1.392,车中车厢内部窗户皮,-61.636,-1.257,-3.362,隧道,
2025:07:14:42:29:066,351.009,255.148,359.311,-0.904,-0.032,-0.426,-52.275,-0.260,-3.574,隧道,-48.960,-0.245,-1.385,车中车厢内部窗户皮,-61.636,-1.257,-3.362,隧道,
2025:07:14:42:29:089,350.929,253.904,359.180,-0.872,-0.020,-0.490,-50.734,-0.103,-3.590,隧道,-46.509,-0.008,-1.214,underground-connection (2),-46.783,-0.015,-1.369,车中车厢内部窗户皮,
2025:07:14:42:29:111,351.030,252.641,359.167,-0.864,-0.024,-0.504,-50.433,-0.138,-3.586,隧道,-46.504,-0.029,-1.296,underground-connection (2),-46.631,-0.032,-1.370,车中车厢内部窗户皮,
2025:07:14:42:29:134,351.086,251.370,359.023,-0.855,-0.025,-0.518,-50.132,-0.142,-3.586,隧道,-46.486,-0.035,-1.377,车中部车厢窗户外皮,-46.577,-0.037,-1.370,车中车厢内部窗户皮,
2025:07:14:42:29:156,351.094,250.203,358.916,-0.856,-0.028,-0.516,-50.154,-0.165,-3.584,隧道,-46.486,-0.046,-1.371,车中部车厢窗户外皮,-46.486,-0.046,-1.371,车中车厢内部窗户皮,
2025:07:14:42:29:178,351.263,248.997,358.827,-0.851,-0.030,-0.525,-49.980,-0.179,-3.582,隧道,-46.532,-0.058,-1.455,GameObject,-46.486,-0.046,-1.371,车中车厢内部窗户皮,
2025:07:14:42:29:200,351.561,247.652,358.799,-0.848,-0.039,-0.529,-49.887,-0.251,-3.575,隧道,-46.486,-0.096,-1.455,GameObject,-46.486,-0.046,-1.371,车中车厢内部窗户皮,
2025:07:14:42:29:223,351.858,246.509,358.675,-0.842,-0.043,-0.538,-49.691,-0.278,-3.573,隧道,-46.381,-0.111,-1.455,GameObject,-46.486,-0.046,-1.371,车中车厢内部窗户皮,
2025:07:14:42:29:244,352.317,244.901,358.478,-0.830,-0.049,-0.556,-49.364,-0.318,-3.569,隧道,-46.208,-0.132,-1.455,GameObject,-46.486,-0.046,-1.371,车中车厢内部窗户皮,
2025:07:14:42:29:267,352.766,243.452,358.326,-0.825,-0.057,-0.563,-49.224,-0.380,-3.563,隧道,-46.135,-0.165,-1.455,GameObject,-46.486,-0.046,-1.371,车中车厢内部窗户皮,
