TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:15:40:56:745,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:40:57:916,0.000,160.000,0.000,0.384,-0.065,-0.921,-40.645,0.904,-3.470,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:40:58:038,0.167,255.007,359.623,-0.909,-0.066,-0.412,-52.568,-0.639,-3.537,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:40:58:139,0.072,254.725,359.877,-0.910,-0.064,-0.410,-52.618,-0.626,-3.538,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:40:58:200,359.938,254.627,359.979,-0.911,-0.062,-0.409,-52.676,-0.602,-3.541,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:40:58:254,359.756,254.624,0.065,-0.940,0.002,-0.341,-55.191,0.106,-3.590,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:40:58:288,359.686,254.628,0.057,-0.947,0.057,-0.316,-55.943,0.875,-3.478,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:40:58:314,359.700,254.638,0.047,-0.948,0.078,-0.308,-56.000,1.182,-3.385,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:40:58:339,359.716,254.652,0.031,-0.947,0.114,-0.301,-55.661,1.649,-3.181,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:40:58:365,359.729,254.656,0.043,-0.945,0.135,-0.296,-55.421,1.906,-3.044,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:40:58:390,359.756,254.646,0.069,-0.944,0.152,-0.292,-55.190,2.094,-2.917,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:40:58:417,359.812,254.630,0.090,-0.941,0.181,-0.286,-54.614,2.385,-2.677,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:40:58:444,359.880,254.595,0.096,-0.948,0.152,-0.278,-55.657,2.169,-2.855,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:40:58:467,359.883,254.566,0.078,-0.960,0.039,-0.278,-50.471,0.398,-1.310,车中车厢内部上部条纹,-58.123,0.710,-3.529,隧道,0.000,0.000,0.000,Null,
2025:06:15:40:58:489,359.870,254.534,0.021,-0.961,0.016,-0.276,-58.396,0.333,-3.567,隧道,-50.678,0.208,-1.349,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
