TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:11:12:23:725,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:12:24:928,0.000,160.000,0.000,0.405,-0.174,-0.898,-40.451,0.353,-3.565,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:12:25:028,348.459,203.205,355.466,-0.214,0.053,-0.975,-43.533,0.319,-3.569,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:12:25:092,347.269,201.534,355.416,-0.187,0.077,-0.979,-43.399,0.425,-3.558,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:12:25:145,347.389,200.674,355.882,-0.180,0.075,-0.981,-43.362,0.417,-3.559,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:12:25:192,348.225,199.567,356.471,-0.171,0.065,-0.983,-43.317,0.372,-3.563,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:12:25:216,348.901,198.773,356.985,-0.159,0.054,-0.986,-43.262,0.320,-3.568,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:12:25:238,349.219,198.498,357.106,-0.160,0.051,-0.986,-43.266,0.309,-3.570,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:12:25:262,349.594,198.187,357.243,-0.183,0.048,-0.982,-43.374,0.295,-3.571,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:12:25:283,349.888,197.967,357.310,-0.207,0.072,-0.976,-43.482,0.405,-3.560,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:12:25:305,350.113,197.776,357.374,-0.304,0.115,-0.946,-43.957,0.611,-3.540,隧道,-43.246,0.343,-1.325,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:12:25:327,350.294,197.628,357.402,-0.372,0.133,-0.918,-44.323,0.715,-3.527,隧道,-43.424,0.393,-1.311,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:12:25:348,350.474,197.516,357.410,-0.366,0.206,-0.907,-44.300,1.068,-3.493,隧道,-43.424,0.393,-1.311,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:12:25:370,350.639,197.418,357.401,-0.337,0.284,-0.898,-44.112,1.400,-3.314,隧道,-43.424,0.393,-1.311,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:12:25:394,350.732,197.371,357.371,-0.280,0.269,-0.921,-43.822,1.307,-3.347,隧道,-43.424,0.393,-1.311,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:12:25:417,350.866,197.339,357.395,-0.278,0.259,-0.925,-43.813,1.260,-3.362,隧道,-43.424,0.393,-1.311,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:12:25:437,350.993,197.372,357.405,-0.301,0.237,-0.924,-43.927,1.170,-3.389,隧道,-43.424,0.393,-1.311,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:12:25:461,351.156,197.429,357.422,-0.325,0.236,-0.916,-44.053,1.173,-3.388,隧道,-43.424,0.393,-1.311,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:12:25:486,351.258,197.565,357.427,-0.361,0.228,-0.904,-44.245,1.149,-3.395,隧道,-43.424,0.393,-1.311,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:12:25:508,351.269,197.734,357.417,-0.372,0.220,-0.902,-44.332,1.137,-3.470,隧道,-43.424,0.393,-1.311,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:12:25:531,351.261,197.936,357.410,-0.386,0.195,-0.902,-44.414,1.025,-3.508,隧道,-43.424,0.393,-1.311,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:12:25:552,351.317,198.198,357.433,-0.391,0.183,-0.902,-44.448,0.969,-3.527,隧道,-43.424,0.393,-1.311,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:12:25:575,351.394,198.428,357.416,-0.393,0.174,-0.903,-44.447,0.920,-3.499,隧道,-43.424,0.393,-1.311,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:12:25:597,351.496,198.633,357.396,-0.394,0.168,-0.903,-44.440,0.885,-3.475,隧道,-43.424,0.393,-1.311,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:12:25:618,351.600,198.920,357.374,-0.401,0.162,-0.902,-44.478,0.859,-3.483,隧道,-43.424,0.393,-1.311,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:12:25:641,351.753,199.205,357.310,-0.406,0.155,-0.901,-44.512,0.826,-3.493,隧道,-43.424,0.393,-1.311,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:12:25:665,352.014,199.576,357.234,-0.413,0.142,-0.900,-44.556,0.768,-3.511,隧道,-43.543,0.420,-1.303,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:12:25:683,352.283,199.927,357.182,-0.418,0.132,-0.899,-44.592,0.720,-3.525,隧道,-43.561,0.396,-1.310,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:11:12:25:709,352.655,200.468,357.102,-0.391,0.041,-0.920,-43.492,0.177,-1.352,车中车厢内部窗户皮,-44.435,0.276,-3.573,隧道,0.000,0.000,0.000,Null,
2025:06:11:12:25:731,352.959,201.009,357.024,-0.396,0.032,-0.918,-43.511,0.156,-1.355,车中车厢内部窗户皮,-44.471,0.233,-3.577,隧道,0.000,0.000,0.000,Null,
2025:06:11:12:25:752,353.270,201.783,356.933,-0.395,0.004,-0.919,-43.510,0.087,-1.361,车中车厢内部窗户皮,-44.467,0.096,-3.591,隧道,0.000,0.000,0.000,Null,
2025:06:11:12:25:776,353.610,202.696,356.851,-0.403,-0.002,-0.915,-43.538,0.074,-1.362,车中车厢内部窗户皮,-44.522,0.070,-3.593,隧道,0.000,0.000,0.000,Null,
2025:06:11:12:25:798,353.979,203.814,356.704,-0.420,0.000,-0.908,-43.589,0.078,-1.362,车中车厢内部窗户皮,-44.620,0.078,-3.592,隧道,0.000,0.000,0.000,Null,
2025:06:11:12:25:820,354.247,205.115,356.757,-0.439,-0.001,-0.898,-43.652,0.076,-1.362,车中车厢内部窗户皮,-44.744,0.074,-3.593,隧道,0.000,0.000,0.000,Null,
2025:06:11:12:25:842,354.444,206.851,356.956,-0.460,-0.003,-0.888,-43.723,0.070,-1.362,车中车厢内部窗户皮,-44.879,0.062,-3.594,隧道,0.000,0.000,0.000,Null,
2025:06:11:12:25:866,354.619,208.754,357.224,-0.483,-0.011,-0.875,-43.804,0.051,-1.364,车中车厢内部窗户皮,-45.037,0.024,-3.598,隧道,0.000,0.000,0.000,Null,
2025:06:11:12:25:892,354.870,211.605,357.518,-0.478,-0.001,-0.878,-43.796,0.076,-1.362,车中车厢内部窗户皮,-45.011,0.074,-3.593,隧道,0.000,0.000,0.000,Null,
2025:06:11:12:25:915,354.895,215.781,357.543,-0.536,0.001,-0.844,-45.426,0.081,-3.592,隧道,-45.176,0.085,-3.592,隧道,0.000,0.000,0.000,Null,
2025:06:11:12:25:937,354.751,218.782,357.404,-0.584,0.003,-0.812,-45.810,0.096,-3.591,隧道,-45.176,0.085,-3.592,隧道,0.000,0.000,0.000,Null,
2025:06:11:12:25:966,354.624,224.404,357.136,-0.660,0.006,-0.751,-46.543,0.112,-3.589,隧道,-45.176,0.085,-3.592,隧道,0.000,0.000,0.000,Null,
2025:06:11:12:25:990,354.673,227.475,356.719,-0.699,0.005,-0.715,-46.996,0.111,-3.589,隧道,-45.176,0.085,-3.592,隧道,0.000,0.000,0.000,Null,
2025:06:11:12:26:013,354.713,230.938,356.398,-0.741,0.005,-0.672,-45.113,0.095,-1.360,车中车厢内部窗户皮,-47.569,0.111,-3.589,隧道,0.000,0.000,0.000,Null,
2025:06:11:12:26:036,354.765,234.181,356.098,-0.777,0.004,-0.629,-45.427,0.094,-1.360,车中车厢内部窗户皮,-48.179,0.108,-3.589,隧道,0.000,0.000,0.000,Null,
2025:06:11:12:26:068,354.984,238.366,355.786,-0.869,-0.006,-0.495,-50.556,0.025,-3.598,隧道,-46.637,0.051,-1.364,车中车厢内部窗户皮,-46.504,0.052,-1.288,underground-connection (2),
2025:06:11:12:26:091,355.272,240.356,355.646,-0.976,-0.034,-0.213,-53.285,-0.289,-1.398,车中部车厢窗户外皮,-63.097,-0.628,-3.538,隧道,-46.504,0.052,-1.288,underground-connection (2),
2025:06:11:12:26:114,355.723,242.615,355.583,-0.982,-0.040,-0.183,-64.700,-0.824,-3.184,应急疏散平台左侧空气墙,-47.214,-0.109,0.077,107,-48.276,-0.152,-0.121,47,
2025:06:11:12:26:136,356.304,244.037,355.710,-0.965,-0.040,-0.260,-47.782,-0.133,-0.451,10,-59.259,-0.603,-3.541,隧道,-51.258,-0.275,-1.387,车中车厢内部窗户皮,
2025:06:11:12:26:159,356.943,245.686,355.828,-0.961,-0.047,-0.271,-47.814,-0.172,-0.521,10,-58.496,-0.689,-3.532,隧道,-47.152,-0.140,-0.335,85,
2025:06:11:12:26:182,357.530,247.042,355.975,-0.958,-0.053,-0.281,-58.820,-0.824,-3.813,应急疏散平台左侧空气墙,-47.890,-0.214,-0.601,10,-57.795,-0.766,-3.511,隧道,
2025:06:11:12:26:205,358.132,248.532,356.072,-0.946,-0.059,-0.320,-55.837,-0.747,-3.517,隧道,-47.128,-0.202,-0.573,85,-57.795,-0.766,-3.511,隧道,
2025:06:11:12:26:228,358.473,249.643,356.185,-0.944,-0.064,-0.324,-55.978,-0.824,-3.629,应急疏散平台左侧空气墙,-55.606,-0.798,-3.502,隧道,-47.214,-0.231,-0.622,85,
2025:06:11:12:26:250,358.825,250.795,356.360,-0.935,-0.068,-0.348,-55.033,-0.824,-3.654,应急疏散平台左侧空气墙,-54.626,-0.794,-3.503,隧道,-48.951,-0.381,-1.394,车中车厢内部窗户皮,
2025:06:11:12:26:273,359.130,251.965,356.564,-0.939,-0.073,-0.337,-54.265,-0.824,-3.217,应急疏散平台左侧空气墙,-54.990,-0.880,-3.477,隧道,-48.979,-0.402,-1.396,车中车厢内部窗户皮,
2025:06:11:12:26:295,359.367,253.124,356.705,-0.947,-0.077,-0.313,-54.754,-0.908,-3.050,应急疏散平台左侧空气墙,-55.931,-1.004,-3.439,隧道,-47.282,-0.299,-0.578,85,
2025:06:11:12:26:318,359.549,254.299,356.767,-0.974,-0.085,-0.211,-61.155,-1.540,-3.050,应急疏散平台左侧空气墙,-48.122,-0.400,-0.227,10,-53.134,-0.839,-1.313,车中车厢座椅,
2025:06:11:12:26:341,359.683,255.293,356.840,-0.983,-0.089,-0.162,-67.055,-2.136,-3.050,应急疏散平台左侧空气墙,-57.270,-1.248,-1.442,车中车厢内部下部条纹,-61.934,-1.671,-2.208,应急疏散平台.002|应急疏散平台|Dupli|,
2025:06:11:12:26:364,359.767,256.178,356.908,-0.986,-0.091,-0.138,-71.350,-2.569,-3.050,应急疏散平台左侧空气墙,-61.945,-1.701,-1.735,车中车内底板.001,-53.462,-0.919,-0.548,1,
2025:06:11:12:26:386,359.884,257.278,356.982,-0.988,-0.096,-0.122,-61.009,-1.701,-1.297,车中车内底板.001,-51.862,-0.815,-0.169,18,-54.069,-1.029,-0.441,90,
2025:06:11:12:26:420,359.791,257.503,357.076,-0.987,-0.096,-0.127,-61.401,-1.753,-1.444,车中车厢内部下部条纹,-60.877,-1.701,-1.377,车中车内底板.001,-53.577,-0.989,-0.438,1,
2025:06:11:12:26:446,0.134,259.179,357.405,-0.989,-0.104,-0.106,-59.630,-1.701,-0.842,车中车内底板.001,-51.978,-0.899,-0.025,18,-54.239,-1.136,-0.266,90,
2025:06:11:12:26:470,0.433,259.854,357.369,-0.989,-0.110,-0.099,-58.676,-1.701,-0.638,车中车内底板.001,-52.028,-0.963,0.030,18,-53.370,-1.112,-0.105,91,
2025:06:11:12:26:495,0.893,260.786,357.313,-0.988,-0.120,-0.096,-57.270,-1.701,-0.442,车中车内底板.001,-52.098,-1.071,0.059,18,-53.354,-1.224,-0.062,91,
2025:06:11:12:26:519,1.347,261.538,357.125,-0.988,-0.130,-0.088,-56.175,-1.701,-0.232,车中车内底板.001,-52.223,-1.181,0.121,18,-53.370,-1.332,0.019,91,
2025:06:11:12:26:543,1.821,262.238,356.733,-0.984,-0.152,-0.089,-54.174,-1.701,-0.068,车中车内底板.001,-52.216,-1.398,0.110,18,-53.378,-1.578,0.005,91,
2025:06:11:12:26:567,2.350,262.935,356.467,-0.982,-0.167,-0.086,-53.129,-1.701,0.066,车中车内底板.001,-52.324,-1.564,0.136,18,-48.319,-0.882,0.485,47,
2025:06:11:12:26:591,3.009,263.094,356.961,-0.978,-0.187,-0.098,-52.010,-1.701,0.038,车中车内底板.001,-49.858,-1.291,0.255,74,-58.553,-2.950,-0.620,道床,
2025:06:11:12:26:617,3.804,263.540,357.442,-0.976,-0.192,-0.097,-51.715,-1.701,0.081,车中车内底板.001,-49.914,-1.347,0.260,74,-58.049,-2.950,-0.548,道床,
2025:06:11:12:26:642,4.843,263.911,357.640,-0.973,-0.210,-0.093,-50.936,-1.701,0.187,车中车内底板.001,-59.449,-3.538,-0.630,隧道,-49.987,-1.497,0.278,74,
2025:06:11:12:26:667,5.803,264.548,357.702,-0.974,-0.210,-0.088,-50.922,-1.701,0.239,车中车内底板.001,-59.466,-3.548,-0.531,隧道,-48.322,-1.139,0.473,47,
2025:06:11:12:26:691,7.187,265.481,358.197,-0.971,-0.227,-0.073,-50.306,-1.701,0.409,车中车内底板.001,-58.347,-3.581,-0.196,隧道,-48.277,-1.227,0.562,47,
2025:06:11:12:26:716,8.081,266.472,359.262,-0.971,-0.231,-0.057,-50.176,-1.701,0.544,车中车内底板.001,-58.117,-3.592,0.076,隧道,-48.234,-1.239,0.659,47,
2025:06:11:12:26:742,9.030,267.329,359.953,-0.971,-0.236,-0.044,-50.016,-1.701,0.654,车中车内底板.001,-57.689,-3.570,0.304,隧道,-48.252,-1.272,0.734,47,
2025:06:11:12:26:765,10.955,268.650,1.131,-0.964,-0.264,-0.015,-49.210,-1.701,0.888,车中车内底板.001,-55.796,-3.506,0.785,隧道,-53.767,-2.950,0.817,道床,
2025:06:11:12:26:789,12.980,269.807,2.184,-0.957,-0.291,0.008,-48.583,-1.701,1.042,车中车内底板.001,-54.221,-3.413,1.090,隧道,-46.523,-1.076,1.025,underground-connection (2),
2025:06:11:12:26:813,16.494,270.894,2.952,-0.937,-0.348,0.027,-47.517,-1.701,1.134,车中车内底板.001,-51.979,-3.361,1.263,隧道,-46.518,-1.330,1.105,underground-connection (2),
