TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:06:11:12:23:725,-42.500,0.000,1.000,0.000,101.760,0.000,101.760,0.000,0.000,0.000,
2025:06:11:12:24:928,-42.500,-0.494,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:028,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:092,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:145,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:192,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:216,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:238,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:262,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:283,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:305,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:327,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:348,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:370,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:394,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:417,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:437,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:461,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:486,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:508,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:531,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:552,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:575,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:597,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:618,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:641,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:665,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:683,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:709,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:731,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:752,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:776,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:798,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:820,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:842,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:866,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:892,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:915,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:937,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:966,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:25:990,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:26:013,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:26:036,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:26:068,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:26:091,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:26:114,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:26:136,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:26:159,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:26:182,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:26:205,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:26:228,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:26:250,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:26:273,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:26:295,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:26:318,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:26:341,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:26:364,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:26:386,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:26:420,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:12:26:446,-42.503,-1.621,1.000,-0.156,0.000,-0.030,0.159,0.000,0.000,0.000,
2025:06:11:12:26:470,-42.505,-1.621,0.999,-0.149,0.000,-0.028,0.152,0.000,0.000,0.000,
2025:06:11:12:26:495,-42.510,-1.621,0.998,-0.148,0.000,-0.024,0.150,0.000,0.000,0.000,
2025:06:11:12:26:519,-42.516,-1.621,0.997,-0.366,0.000,-0.056,0.370,0.000,0.000,0.000,
2025:06:11:12:26:543,-42.520,-1.621,0.997,-0.205,0.000,-0.029,0.207,-2.051,0.000,-0.291,
2025:06:11:12:26:567,-42.531,-1.621,0.995,-0.226,0.000,-0.026,0.227,-2.051,0.000,-0.291,
2025:06:11:12:26:591,-42.532,-1.621,0.995,-0.092,0.000,-0.001,0.092,-2.051,0.000,-0.291,
2025:06:11:12:26:617,-42.536,-1.621,0.995,-0.062,0.000,-0.003,0.063,-2.051,0.000,-0.291,
2025:06:11:12:26:642,-42.537,-1.621,0.995,-0.061,0.000,-0.004,0.061,-2.051,0.000,-0.291,
2025:06:11:12:26:667,-42.537,-1.621,0.995,0.000,0.000,0.000,0.000,1.442,0.000,0.254,
2025:06:11:12:26:691,-42.540,-1.621,0.995,-0.149,0.000,-0.013,0.149,1.442,0.000,0.254,
2025:06:11:12:26:716,-42.549,-1.621,0.994,-0.207,0.000,-0.012,0.207,1.442,0.000,0.254,
2025:06:11:12:26:742,-42.553,-1.621,0.994,-0.234,0.000,-0.013,0.234,1.442,0.000,0.254,
2025:06:11:12:26:765,-42.565,-1.621,0.994,-0.230,0.000,-0.005,0.230,-4.189,0.000,-0.152,
2025:06:11:12:26:789,-42.574,-1.621,0.994,-0.511,0.000,-0.002,0.511,-4.189,0.000,-0.152,
2025:06:11:12:26:813,-42.582,-1.621,0.994,-0.279,0.000,0.006,0.279,-4.189,0.000,-0.152,
2025:06:11:12:26:838,-42.592,-1.621,0.994,-0.576,0.000,0.017,0.576,-4.189,0.000,-0.152,
2025:06:11:12:26:864,-42.601,-1.621,0.995,-0.274,0.000,0.014,0.275,-4.189,0.000,-0.152,
2025:06:11:12:26:887,-42.613,-1.621,0.995,-0.701,0.000,0.044,0.703,2.053,0.000,0.326,
2025:06:11:12:26:911,-42.624,-1.621,0.996,-0.355,0.000,0.022,0.356,2.053,0.000,0.326,
2025:06:11:12:26:937,-42.628,-1.621,0.996,-0.235,0.000,-0.011,0.235,2.053,0.000,0.326,
2025:06:11:12:26:962,-42.631,-1.621,0.996,-0.079,0.000,-0.002,0.079,2.053,0.000,0.326,
2025:06:11:12:26:985,-42.632,-1.621,0.996,-0.067,0.000,-0.001,0.067,1.952,0.000,-0.152,
2025:06:11:12:27:011,-42.636,-1.621,0.996,-0.227,0.000,0.017,0.227,1.952,0.000,-0.152,
2025:06:11:12:27:036,-42.644,-1.621,0.997,-0.487,0.000,0.040,0.489,1.952,0.000,-0.152,
2025:06:11:12:27:060,-42.652,-1.621,0.997,-0.243,0.000,0.019,0.244,1.952,0.000,-0.152,
2025:06:11:12:27:085,-42.657,-1.621,0.998,-0.312,0.000,0.018,0.312,1.952,0.000,-0.152,
2025:06:11:12:27:111,-42.666,-1.621,0.998,-0.272,0.000,0.013,0.272,-2.328,0.000,0.194,
2025:06:11:12:27:136,-42.675,-1.621,0.998,-0.543,0.000,0.018,0.543,-2.328,0.000,0.194,
2025:06:11:12:27:162,-42.684,-1.621,0.998,-0.274,0.000,-0.002,0.274,-2.328,0.000,0.194,
2025:06:11:12:27:187,-42.693,-1.621,0.998,-0.536,0.000,-0.010,0.536,-2.328,0.000,0.194,
