TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:10:16:47:686,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:16:48:908,0.000,160.000,0.000,0.349,-0.097,-0.932,-40.812,0.753,-3.515,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:16:49:027,4.300,151.064,0.490,0.501,-0.166,-0.849,-39.842,-0.778,-3.508,隧道,-41.091,-0.364,-1.393,车中车厢内部窗户皮,-39.704,-0.824,-3.742,应急疏散平台左侧空气墙,
2025:06:10:16:49:091,4.423,150.945,0.471,0.506,-0.166,-0.847,-39.814,-0.779,-3.508,隧道,-41.077,-0.364,-1.393,车中车厢内部窗户皮,-39.677,-0.824,-3.737,应急疏散平台左侧空气墙,
2025:06:10:16:49:145,4.444,150.881,0.452,0.510,-0.132,-0.850,-39.783,-0.607,-3.540,隧道,-41.074,-0.272,-1.387,车中车厢内部窗户皮,-39.677,-0.824,-3.737,应急疏散平台左侧空气墙,
2025:06:10:16:49:192,4.406,150.812,0.427,0.513,-0.089,-0.854,-39.762,-0.381,-3.562,隧道,-41.075,-0.155,-1.378,车中车厢内部窗户皮,-39.677,-0.824,-3.737,应急疏散平台左侧空气墙,
2025:06:10:16:49:218,4.305,150.707,0.396,0.516,-0.069,-0.854,-39.745,-0.280,-3.572,隧道,-41.072,-0.103,-1.375,车中车厢内部窗户皮,-39.677,-0.824,-3.737,应急疏散平台左侧空气墙,
2025:06:10:16:49:240,4.271,150.690,0.372,0.516,-0.065,-0.854,-39.739,-0.258,-3.575,隧道,-41.070,-0.091,-1.374,车中车厢内部窗户皮,-39.677,-0.824,-3.737,应急疏散平台左侧空气墙,
2025:06:10:16:49:263,4.211,150.665,0.364,0.519,-0.052,-0.853,-39.721,-0.191,-3.581,隧道,-41.064,-0.057,-1.372,车中车厢内部窗户皮,-39.677,-0.824,-3.737,应急疏散平台左侧空气墙,
2025:06:10:16:49:275,4.192,150.657,0.351,0.519,-0.051,-0.853,-39.720,-0.189,-3.581,隧道,-41.064,-0.056,-1.372,车中车厢内部窗户皮,-39.677,-0.824,-3.737,应急疏散平台左侧空气墙,
2025:06:10:16:49:315,4.150,150.629,0.323,0.520,-0.024,-0.854,-39.710,-0.044,-3.596,隧道,-41.066,0.017,-1.366,车中车厢内部窗户皮,-39.677,-0.824,-3.737,应急疏散平台左侧空气墙,
2025:06:10:16:49:345,4.106,150.614,0.313,0.519,-0.024,-0.855,-39.716,-0.045,-3.596,隧道,-41.069,0.017,-1.366,车中车厢内部窗户皮,-39.677,-0.824,-3.737,应急疏散平台左侧空气墙,
2025:06:10:16:49:373,4.089,150.611,0.285,0.519,-0.023,-0.855,-39.717,-0.042,-3.596,隧道,-41.070,0.018,-1.366,车中车厢内部窗户皮,-39.677,-0.824,-3.737,应急疏散平台左侧空气墙,
2025:06:10:16:49:394,4.056,150.614,0.259,0.518,-0.023,-0.855,-39.723,-0.039,-3.596,隧道,-41.073,0.020,-1.366,车中车厢内部窗户皮,-39.677,-0.824,-3.737,应急疏散平台左侧空气墙,
2025:06:10:16:49:414,4.061,150.622,0.264,0.518,-0.022,-0.855,-39.720,-0.035,-3.597,隧道,-41.072,0.022,-1.366,车中车厢内部窗户皮,-39.677,-0.824,-3.737,应急疏散平台左侧空气墙,
2025:06:10:16:49:436,4.077,150.615,0.267,0.519,-0.020,-0.854,-39.712,-0.024,-3.598,隧道,-41.068,0.027,-1.366,车中车厢内部窗户皮,-39.677,-0.824,-3.737,应急疏散平台左侧空气墙,
2025:06:10:16:49:458,4.111,150.613,0.262,0.520,-0.019,-0.854,-39.709,-0.023,-3.598,隧道,-41.067,0.028,-1.366,车中车厢内部窗户皮,-39.677,-0.824,-3.737,应急疏散平台左侧空气墙,
2025:06:10:16:49:482,4.122,150.600,0.263,0.520,-0.019,-0.854,-39.706,-0.019,-3.598,隧道,-41.065,0.030,-1.366,车中车厢内部窗户皮,-39.677,-0.824,-3.737,应急疏散平台左侧空气墙,
2025:06:10:16:49:503,4.136,150.572,0.270,0.520,-0.019,-0.854,-39.703,-0.019,-3.598,隧道,-41.064,0.030,-1.366,车中车厢内部窗户皮,-39.677,-0.824,-3.737,应急疏散平台左侧空气墙,
2025:06:10:16:49:526,4.181,150.521,0.292,0.536,-0.071,-0.841,-39.599,-0.297,-3.571,隧道,-40.997,-0.111,-1.375,车中车厢内部窗户皮,-39.677,-0.824,-3.737,应急疏散平台左侧空气墙,
2025:06:10:16:49:548,4.240,150.422,0.332,0.592,-0.140,-0.794,-39.144,-0.699,-3.531,隧道,-40.994,-0.113,-1.375,车中车厢内部窗户皮,-39.677,-0.824,-3.737,应急疏散平台左侧空气墙,
2025:06:10:16:49:569,4.273,150.237,0.372,0.620,-0.184,-0.762,-38.909,-0.963,-3.452,隧道,-39.236,-0.866,-3.050,应急疏散平台左侧空气墙,-39.677,-0.824,-3.737,应急疏散平台左侧空气墙,
2025:06:10:16:49:592,4.294,149.869,0.397,0.648,-0.217,-0.730,-38.650,-1.188,-3.383,隧道,-38.946,-1.089,-3.050,应急疏散平台左侧空气墙,-39.677,-0.824,-3.737,应急疏散平台左侧空气墙,
2025:06:10:16:49:613,4.293,149.226,0.386,0.660,-0.227,-0.716,-38.522,-1.260,-3.362,隧道,-38.810,-1.162,-3.050,应急疏散平台左侧空气墙,-39.677,-0.824,-3.737,应急疏散平台左侧空气墙,
2025:06:10:16:49:636,4.318,148.120,0.303,0.673,-0.225,-0.705,-41.966,-0.074,0.396,96,-38.380,-1.273,-3.358,隧道,-38.674,-1.174,-3.050,应急疏散平台左侧空气墙,
2025:06:10:16:49:659,4.359,146.978,0.205,0.685,-0.219,-0.695,-41.939,-0.075,0.388,96,-38.244,-1.258,-3.362,隧道,-38.551,-1.160,-3.050,应急疏散平台左侧空气墙,
2025:06:10:16:49:681,4.352,145.456,0.090,0.701,-0.210,-0.682,-41.920,-0.070,0.395,96,-38.052,-1.232,-3.370,隧道,-38.381,-1.133,-3.050,应急疏散平台左侧空气墙,
2025:06:10:16:49:704,4.305,143.699,0.006,0.721,-0.207,-0.662,-41.914,-0.064,0.422,96,-37.790,-1.249,-3.365,隧道,-38.133,-1.150,-3.050,应急疏散平台左侧空气墙,
2025:06:10:16:49:726,4.238,141.641,359.918,0.743,-0.203,-0.638,-41.880,-0.065,0.430,96,-37.470,-1.270,-3.359,隧道,-37.829,-1.172,-3.050,应急疏散平台左侧空气墙,
2025:06:10:16:49:747,4.110,139.086,359.836,0.784,-0.196,-0.589,-41.845,-0.061,0.468,96,-36.779,-1.327,-3.341,隧道,-37.166,-1.230,-3.050,应急疏散平台左侧空气墙,
2025:06:10:16:49:769,4.040,136.142,359.655,0.852,-0.185,-0.490,-38.458,-0.777,-1.373,车中车厢座椅,-41.776,-0.056,0.535,96,-35.168,-1.492,-3.265,隧道,
2025:06:10:16:49:793,4.060,132.996,359.410,0.935,-0.112,-0.337,-39.175,-0.305,-0.261,77,-30.623,-1.325,-3.342,隧道,-35.967,-0.688,-1.417,车中车厢内部窗户皮,
2025:06:10:16:49:815,3.894,130.233,359.306,0.961,-0.075,-0.267,-26.904,-1.125,-3.403,隧道,-28.172,-1.026,-3.050,应急疏散平台左侧空气墙,-30.620,-1.293,-3.050,应急疏散平台左侧空气墙,
2025:06:10:16:49:836,3.657,127.137,359.289,0.980,-0.061,-0.190,-19.943,-1.323,-3.450,隧道,-36.291,-0.302,-0.274,26,-20.448,-1.292,-3.352,隧道,
2025:06:10:16:49:860,3.446,123.983,359.298,0.987,-0.074,-0.141,-19.210,-1.650,-2.401,planty,-25.927,-1.149,-1.439,车中车厢内部下部条纹,-26.389,-1.114,-1.373,车中车厢座椅,
2025:06:10:16:49:881,3.321,121.612,359.399,0.988,-0.103,-0.119,-25.325,-1.701,-1.134,车中车内底板.001,-28.068,-1.415,-0.803,车中车厢座椅,-15.475,-2.730,-2.321,隧道,
2025:06:10:16:49:905,3.241,118.435,359.485,0.992,-0.110,-0.068,-26.360,-1.701,-0.163,车中车内底板.001,-11.249,-3.382,-1.194,隧道,-15.131,-2.950,-0.929,道床,
2025:06:10:16:49:926,3.198,116.196,359.713,0.989,-0.127,-0.073,-28.452,-1.701,-0.089,车中车内底板.001,-15.039,-3.418,-1.076,隧道,-18.693,-2.950,-0.807,道床,
2025:06:10:16:49:948,3.300,113.755,359.960,0.988,-0.127,-0.087,-28.481,-1.701,-0.283,车中车内底板.001,-15.876,-3.318,-1.393,隧道,-18.744,-2.950,-1.141,道床,
2025:06:10:16:49:970,3.482,111.554,0.141,0.993,-0.119,-0.005,-27.559,-1.701,0.874,车中车内底板.001,-30.652,-1.329,0.889,车中车厢座椅,-12.598,-3.501,0.802,隧道,
2025:06:10:16:49:994,3.616,109.712,0.403,0.992,-0.114,0.047,-22.454,-2.201,1.900,隧道右侧空气墙,-34.476,-0.824,1.326,车中车厢座椅,-16.768,-2.853,2.172,隧道,
2025:06:10:16:50:014,3.670,108.493,0.700,0.989,-0.129,0.072,-25.331,-2.142,2.191,隧道右侧空气墙,-21.677,-2.618,2.457,隧道,-35.993,-0.751,1.415,车中车厢内部窗户皮,
2025:06:10:16:50:037,3.729,107.151,0.990,0.987,-0.145,0.072,-27.269,-2.142,2.056,隧道右侧空气墙,-36.540,-0.777,1.380,车中车厢座椅,-23.251,-2.733,2.348,隧道,
2025:06:10:16:50:059,3.871,106.525,1.267,0.990,-0.141,0.012,-29.869,-1.701,1.114,车中车内底板.001,-31.524,-1.466,1.093,车中车厢座椅,-18.222,-3.362,1.260,隧道,
2025:06:10:16:50:082,4.032,105.719,1.600,0.991,-0.135,-0.020,-29.293,-1.701,0.695,车中车内底板.001,-15.666,-3.558,0.419,隧道,-33.302,-1.155,0.776,44,
2025:06:10:16:50:104,4.024,105.364,1.912,0.990,-0.129,-0.059,-28.685,-1.701,0.152,车中车内底板.001,-14.619,-3.533,-0.681,隧道,-19.096,-2.950,-0.416,道床,
2025:06:10:16:50:125,3.972,105.271,2.145,0.989,-0.127,-0.076,-28.486,-1.701,-0.100,车中车内底板.001,-15.208,-3.406,-1.115,隧道,-18.758,-2.950,-0.844,道床,
2025:06:10:16:50:148,3.952,105.105,2.407,0.989,-0.126,-0.082,-28.444,-1.701,-0.197,车中车内底板.001,-15.503,-3.357,-1.274,隧道,-18.687,-2.950,-1.009,道床,
2025:06:10:16:50:170,3.950,105.127,2.679,0.986,-0.131,-0.102,-28.986,-1.701,-0.424,车中车内底板.001,-17.663,-3.209,-1.597,隧道,-19.608,-2.950,-1.395,道床,
2025:06:10:16:50:194,3.929,105.115,2.960,0.985,-0.133,-0.106,-29.176,-1.701,-0.457,车中车内底板.001,-18.184,-3.186,-1.639,隧道,-19.932,-2.950,-1.451,道床,
2025:06:10:16:50:216,3.843,105.085,3.245,0.984,-0.130,-0.121,-28.923,-1.701,-0.695,车中车内底板.001,-18.898,-3.030,-1.932,隧道,-19.501,-2.950,-1.857,道床,
