TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:14:57:46:178,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:57:47:327,0.000,160.000,0.000,0.360,-0.200,-0.911,-40.691,0.133,-3.587,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:57:47:434,359.634,340.301,4.246,-0.340,-0.197,0.920,-43.443,-0.439,3.557,隧道,-42.620,0.038,1.330,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:47:468,0.255,340.881,3.995,-0.330,-0.208,0.921,-43.414,-0.466,3.554,隧道,-42.617,0.036,1.330,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:47:517,0.454,341.074,3.908,-0.327,-0.211,0.921,-43.405,-0.474,3.553,隧道,-42.616,0.035,1.330,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:47:571,1.242,341.361,4.090,-0.322,-0.223,0.920,-43.390,-0.506,3.550,隧道,-42.614,0.033,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:47:597,1.424,341.399,4.172,-0.321,-0.226,0.920,-43.388,-0.514,3.549,隧道,-42.614,0.032,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:47:617,1.527,341.425,4.300,-0.320,-0.227,0.920,-43.386,-0.515,3.549,隧道,-42.613,0.032,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:47:643,1.567,341.512,4.491,-0.319,-0.226,0.920,-43.381,-0.514,3.549,隧道,-42.613,0.032,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:47:663,1.668,341.691,4.637,-0.315,-0.226,0.922,-43.371,-0.511,3.550,隧道,-42.611,0.033,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:47:685,1.865,341.907,4.767,-0.311,-0.225,0.923,-43.359,-0.507,3.550,隧道,-42.610,0.033,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:47:707,2.203,342.210,5.006,-0.305,-0.229,0.924,-43.341,-0.519,3.549,隧道,-42.608,0.032,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:47:729,2.508,342.536,4.946,-0.301,-0.230,0.925,-43.327,-0.520,3.549,隧道,-42.606,0.032,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:47:752,2.743,342.982,4.750,-0.294,-0.234,0.927,-43.306,-0.529,3.548,隧道,-42.603,0.031,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:47:774,2.916,343.326,4.495,-0.289,-0.235,0.928,-43.293,-0.530,3.548,隧道,-42.601,0.031,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:47:796,3.084,343.644,4.186,-0.286,-0.237,0.929,-43.281,-0.534,3.547,隧道,-42.600,0.031,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:47:817,3.525,343.947,3.893,-0.282,-0.243,0.928,-43.271,-0.550,3.546,隧道,-42.598,0.030,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:47:840,3.671,344.078,3.856,-0.281,-0.242,0.929,-43.268,-0.548,3.546,隧道,-42.598,0.030,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:47:863,3.742,344.166,3.736,-0.283,-0.239,0.929,-43.274,-0.539,3.547,隧道,-42.598,0.031,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:47:885,3.728,344.149,3.447,-0.288,-0.233,0.929,-43.287,-0.525,3.548,隧道,-42.599,0.032,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:47:907,3.987,344.110,3.031,-0.292,-0.234,0.927,-43.298,-0.529,3.548,隧道,-42.600,0.031,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:47:929,4.265,343.966,2.722,-0.297,-0.236,0.925,-43.313,-0.533,3.547,隧道,-42.601,0.031,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:47:951,4.707,343.791,2.446,-0.303,-0.239,0.923,-43.331,-0.543,3.547,隧道,-42.603,0.030,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:47:974,4.930,343.656,2.337,-0.307,-0.238,0.921,-43.344,-0.542,3.547,隧道,-42.605,0.030,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:47:996,5.112,343.458,2.309,-0.312,-0.238,0.920,-43.358,-0.544,3.546,隧道,-42.606,0.030,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:48:017,5.279,343.161,2.352,-0.317,-0.239,0.918,-43.373,-0.546,3.546,隧道,-42.608,0.030,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:48:040,5.453,342.735,2.405,-0.326,-0.237,0.915,-43.400,-0.544,3.546,隧道,-42.611,0.030,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:48:062,5.567,342.262,2.476,-0.335,-0.232,0.913,-43.427,-0.532,3.548,隧道,-42.615,0.031,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:48:085,5.704,341.548,2.569,-0.347,-0.230,0.909,-43.467,-0.529,3.548,隧道,-42.619,0.031,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:48:107,5.823,340.783,2.666,-0.375,-0.204,0.904,-43.549,-0.465,3.554,隧道,-42.628,0.036,1.330,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:48:129,6.036,339.646,2.720,-0.512,-0.185,0.839,-44.024,-0.455,3.555,隧道,-42.668,0.037,1.330,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:48:151,6.280,338.430,2.646,-0.562,-0.197,0.803,-44.241,-0.513,3.549,隧道,-42.689,0.032,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:48:173,6.537,337.127,2.503,-0.624,-0.202,0.755,-44.549,-0.566,3.544,隧道,-42.718,0.027,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:14:57:48:197,6.832,335.489,2.260,-0.654,-0.199,0.730,-44.717,-0.577,3.543,隧道,-42.736,0.026,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
