TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:17:00:51:190,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:17:00:52:368,0.000,160.000,0.000,0.194,-0.070,-0.979,-41.590,0.902,-3.470,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:17:00:52:463,348.557,261.577,356.125,-0.993,0.115,0.000,-71.902,3.452,0.964,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:17:00:52:572,348.466,261.595,356.111,-0.989,0.119,-0.083,-69.848,3.352,-1.291,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:17:00:52:630,348.458,261.567,356.118,-0.989,0.117,-0.086,-69.946,3.313,-1.402,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:17:00:52:686,348.490,261.527,356.149,-0.990,0.111,-0.087,-70.954,3.250,-1.521,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:17:00:52:714,348.517,261.509,356.162,-0.991,0.103,-0.088,-72.357,3.174,-1.661,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:17:00:52:738,348.528,261.484,356.179,-0.992,0.093,-0.090,-74.451,3.060,-1.914,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:17:00:52:762,348.527,261.466,356.210,-0.992,0.090,-0.091,-74.958,2.994,-1.998,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:17:00:52:785,348.511,261.460,356.172,-0.992,0.084,-0.091,-76.091,2.925,-2.084,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:17:00:52:811,348.503,261.476,356.096,-0.992,0.082,-0.091,-76.537,2.884,-2.134,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:17:00:52:839,348.514,261.500,356.134,-0.993,0.081,-0.090,-77.035,2.879,-2.139,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:17:00:52:865,348.546,261.519,356.160,-0.993,0.077,-0.090,-77.939,2.822,-2.208,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:17:00:52:889,348.576,261.544,356.133,-0.993,0.077,-0.089,-78.098,2.827,-2.203,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:17:00:52:920,348.605,261.534,356.117,-0.993,0.077,-0.090,-78.071,2.815,-2.217,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
