TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:07:09:44:22:030,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:09:44:23:030,28.729,173.775,3.296,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:09:44:23:098,29.611,174.168,2.940,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:07:09:44:23:191,29.537,173.966,3.460,0.062,-0.969,-0.240,-42.291,-2.950,0.100,道床,-42.370,-1.701,0.409,车中车内底板.001,-42.249,-3.595,-0.060,隧道,
2025:07:09:44:23:241,29.636,173.540,3.587,0.076,-0.965,-0.250,-42.246,-2.950,0.067,道床,-42.343,-1.701,0.390,车中车内底板.001,-42.195,-3.591,-0.099,隧道,
2025:07:09:44:23:263,29.561,173.517,3.529,0.085,-0.963,-0.257,-42.216,-2.950,0.041,道床,-42.326,-1.701,0.375,车中车内底板.001,-42.160,-3.588,-0.129,隧道,
2025:07:09:44:23:286,29.471,173.502,3.494,0.090,-0.961,-0.262,-42.200,-2.950,0.024,道床,-42.317,-1.701,0.365,车中车内底板.001,-42.141,-3.586,-0.150,隧道,
2025:07:09:44:23:308,29.422,173.488,3.495,0.096,-0.959,-0.268,-42.178,-2.950,0.005,道床,-42.304,-1.701,0.354,车中车内底板.001,-42.115,-3.584,-0.172,隧道,
2025:07:09:44:23:329,29.423,173.469,3.517,0.102,-0.957,-0.271,-42.160,-2.950,-0.008,道床,-42.293,-1.701,0.346,车中车内底板.001,-42.093,-3.582,-0.187,隧道,
2025:07:09:44:23:351,29.428,173.426,3.528,0.104,-0.956,-0.273,-42.154,-2.950,-0.013,道床,-42.290,-1.701,0.343,车中车内底板.001,-42.086,-3.582,-0.194,隧道,
2025:07:09:44:23:375,29.455,173.357,3.507,0.110,-0.954,-0.277,-42.135,-2.950,-0.029,道床,-42.278,-1.701,0.334,车中车内底板.001,-42.062,-3.580,-0.212,隧道,
2025:07:09:44:23:396,29.509,173.274,3.467,0.114,-0.953,-0.279,-42.119,-2.950,-0.036,道床,-42.269,-1.701,0.330,车中车内底板.001,-42.043,-3.579,-0.220,隧道,
2025:07:09:44:23:419,29.530,173.200,3.407,0.119,-0.952,-0.281,-42.103,-2.950,-0.044,道床,-42.259,-1.701,0.325,车中车内底板.001,-42.024,-3.578,-0.230,隧道,
2025:07:09:44:23:440,29.525,173.111,3.322,0.129,-0.949,-0.286,-42.070,-2.950,-0.062,道床,-42.240,-1.701,0.315,车中车内底板.001,-41.985,-3.576,-0.251,隧道,
2025:07:09:44:23:462,29.496,173.039,3.235,0.135,-0.948,-0.288,-42.051,-2.950,-0.069,道床,-42.229,-1.701,0.310,车中车内底板.001,-41.962,-3.575,-0.259,隧道,
2025:07:09:44:23:483,29.402,172.954,3.128,0.141,-0.947,-0.290,-42.030,-2.950,-0.077,道床,-42.216,-1.701,0.306,车中车内底板.001,-41.937,-3.574,-0.268,隧道,
2025:07:09:44:23:507,29.339,172.910,2.986,0.152,-0.944,-0.294,-41.994,-2.950,-0.093,道床,-42.195,-1.701,0.296,车中车内底板.001,-41.894,-3.572,-0.287,隧道,
2025:07:09:44:23:529,29.205,172.866,2.830,0.158,-0.941,-0.299,-41.972,-2.950,-0.110,道床,-42.182,-1.701,0.287,车中车内底板.001,-41.867,-3.570,-0.306,隧道,
2025:07:09:44:23:551,29.110,172.862,2.719,0.165,-0.938,-0.304,-41.948,-2.950,-0.129,道床,-42.168,-1.701,0.275,车中车内底板.001,-41.839,-3.568,-0.330,隧道,
