TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:14:51:42:292,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:43:545,0.000,160.000,0.000,0.451,0.133,-0.883,-40.428,1.806,-3.097,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:43:644,6.007,177.950,2.360,0.161,0.045,-0.986,-41.771,0.281,-3.572,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:43:682,5.819,177.545,2.463,0.168,0.056,-0.984,-41.739,0.330,-3.568,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:43:732,5.762,177.535,2.511,0.168,0.064,-0.984,-41.740,0.366,-3.564,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:43:778,5.866,177.522,2.649,0.156,0.069,-0.985,-41.794,0.389,-3.562,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:43:798,6.346,177.603,2.777,0.155,0.064,-0.986,-41.798,0.366,-3.564,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:43:822,6.657,177.681,2.860,0.154,0.059,-0.986,-41.803,0.344,-3.566,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:43:843,7.025,177.732,2.980,0.160,0.060,-0.985,-41.777,0.347,-3.566,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:43:865,7.464,177.786,3.093,0.153,0.054,-0.987,-41.808,0.320,-3.568,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:43:885,7.821,177.788,3.170,0.145,0.052,-0.988,-41.848,0.310,-3.569,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:43:908,8.052,177.775,3.160,0.136,0.051,-0.989,-41.886,0.307,-3.570,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:43:932,8.248,177.772,3.073,0.127,0.049,-0.991,-41.928,0.299,-3.571,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:43:952,8.368,177.760,3.036,0.121,0.049,-0.991,-41.955,0.296,-3.571,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:43:977,8.434,177.725,2.939,0.118,0.048,-0.992,-41.966,0.294,-3.571,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:43:998,8.424,177.694,2.870,0.112,0.050,-0.992,-41.995,0.303,-3.570,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:44:019,8.357,177.650,2.811,0.106,0.053,-0.993,-42.023,0.316,-3.569,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:44:043,8.269,177.596,2.749,0.104,0.058,-0.993,-42.030,0.336,-3.567,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:44:064,8.162,177.550,2.726,0.102,0.062,-0.993,-42.038,0.355,-3.565,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:44:087,8.075,177.515,2.731,0.102,0.064,-0.993,-42.039,0.364,-3.564,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:44:117,8.005,177.453,2.698,0.101,0.066,-0.993,-42.043,0.374,-3.563,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:44:140,7.964,177.424,2.667,0.116,0.057,-0.992,-41.978,0.334,-3.567,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:44:163,7.920,177.398,2.669,0.141,0.022,-0.990,-41.860,0.175,-3.583,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:44:184,7.898,177.379,2.717,0.172,-0.032,-0.985,-41.715,-0.068,-3.593,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:44:208,7.888,177.368,2.767,0.197,-0.054,-0.979,-41.600,-0.168,-3.583,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:44:230,7.880,177.346,2.801,0.198,-0.053,-0.979,-41.594,-0.162,-3.584,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:44:251,7.885,177.343,2.839,0.199,-0.054,-0.978,-41.591,-0.167,-3.584,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:44:273,7.918,177.348,2.870,0.201,-0.059,-0.978,-41.580,-0.191,-3.581,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:44:296,7.988,177.381,2.921,0.201,-0.064,-0.978,-41.584,-0.210,-3.579,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:44:317,8.063,177.445,2.999,0.200,-0.069,-0.977,-41.587,-0.232,-3.577,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:44:340,8.171,177.546,3.118,0.200,-0.072,-0.977,-41.588,-0.249,-3.575,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:44:361,8.354,177.701,3.224,0.196,-0.080,-0.977,-41.608,-0.285,-3.572,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:44:384,8.502,177.902,3.195,0.191,-0.083,-0.978,-41.629,-0.297,-3.571,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:44:406,8.612,178.184,3.159,0.187,-0.088,-0.978,-41.649,-0.319,-3.569,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:44:429,8.786,178.574,3.167,0.180,-0.092,-0.979,-41.684,-0.336,-3.567,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:44:450,9.012,178.974,3.231,0.109,-0.137,-0.985,-42.012,-0.535,-3.547,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:44:473,9.320,179.394,3.471,0.095,-0.152,-0.984,-42.075,-0.602,-3.541,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:44:496,9.850,179.876,3.779,0.079,-0.174,-0.982,-42.147,-0.696,-3.531,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:14:51:44:517,10.373,180.376,4.201,0.055,-0.196,-0.979,-42.254,-0.803,-3.563,隧道,-42.248,-0.824,-3.666,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:06:14:51:44:540,10.949,180.709,4.363,0.061,-0.196,-0.979,-42.232,-0.792,-3.504,隧道,-42.222,-0.824,-3.660,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:06:14:51:44:563,11.393,181.037,4.566,0.045,-0.213,-0.976,-42.301,-0.877,-3.541,隧道,-42.313,-0.824,-3.293,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
