TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:10:11:52:375,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:11:53:530,0.000,160.000,0.000,0.227,0.058,-0.972,-41.472,1.360,-3.331,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:11:53:629,3.169,54.058,3.271,0.859,0.047,0.510,-38.200,0.306,3.570,隧道,-41.972,0.101,1.329,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:11:53:738,2.952,56.400,2.907,0.860,0.118,0.497,-38.132,0.659,3.535,隧道,-41.952,0.136,1.327,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:11:53:793,2.940,57.787,2.765,0.858,0.166,0.485,-38.144,0.898,3.471,隧道,-41.939,0.163,1.326,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:11:53:843,2.849,58.620,2.892,0.860,0.195,0.471,-38.086,1.051,3.425,隧道,-41.922,0.181,1.325,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:11:53:864,2.872,59.258,2.979,0.862,0.204,0.463,-38.029,1.104,3.409,隧道,-41.910,0.187,1.324,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:11:53:895,2.958,59.702,3.198,0.860,0.225,0.458,-38.053,1.208,3.378,隧道,-41.906,0.200,1.323,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:11:53:920,3.008,60.019,3.249,0.858,0.233,0.458,-38.081,1.245,3.366,隧道,-41.906,0.205,1.323,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:11:53:936,3.057,60.246,3.317,0.856,0.237,0.459,-38.103,1.261,3.361,隧道,-41.906,0.207,1.323,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:11:53:959,3.075,60.399,3.436,0.851,0.243,0.466,-38.200,1.271,3.358,隧道,-41.915,0.208,1.323,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:11:53:981,3.060,60.522,3.587,0.850,0.246,0.466,-38.212,1.281,3.355,隧道,-41.916,0.210,1.323,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:11:54:003,3.012,60.574,3.614,0.847,0.249,0.470,-38.251,1.289,3.359,隧道,-41.921,0.210,1.323,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:11:54:025,2.923,60.608,3.647,0.844,0.255,0.473,-38.251,1.323,3.381,隧道,-41.925,0.213,1.323,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:11:54:048,2.849,60.577,3.593,0.841,0.257,0.476,-38.256,1.337,3.404,隧道,-41.930,0.213,1.323,车中车厢左车门4-1,0.000,0.000,0.000,Null,
