TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:09:40:15:384,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:40:16:522,0.000,160.000,0.000,0.381,0.036,-0.924,-40.724,1.374,-3.327,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:09:40:16:613,2.046,198.597,358.984,-0.280,0.001,-0.960,-43.194,0.082,-1.361,车中车厢内部窗户皮,-43.844,0.085,-3.592,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:16:651,2.089,198.636,358.967,-0.280,0.001,-0.960,-43.196,0.080,-1.362,车中车厢内部窗户皮,-43.848,0.081,-3.592,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:16:711,2.121,198.655,358.996,-0.280,0.000,-0.960,-43.196,0.079,-1.362,车中车厢内部窗户皮,-43.848,0.078,-3.592,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:16:770,2.168,198.673,358.921,-0.280,-0.001,-0.960,-43.195,0.077,-1.362,车中车厢内部窗户皮,-43.845,0.075,-3.593,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:16:788,2.153,198.667,358.926,-0.279,0.000,-0.960,-43.194,0.077,-1.362,车中车厢内部窗户皮,-43.843,0.076,-3.592,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:16:811,2.175,198.651,358.874,-0.279,-0.001,-0.960,-43.192,0.077,-1.362,车中车厢内部窗户皮,-43.839,0.075,-3.593,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:16:832,2.170,198.661,358.841,-0.278,-0.001,-0.961,-43.191,0.077,-1.362,车中车厢内部窗户皮,-43.836,0.075,-3.593,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:16:855,2.124,198.673,358.841,-0.277,0.001,-0.961,-43.189,0.081,-1.361,车中车厢内部窗户皮,-43.833,0.083,-3.592,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:16:878,2.105,198.683,358.837,-0.277,0.002,-0.961,-43.189,0.083,-1.361,车中车厢内部窗户皮,-43.833,0.088,-3.591,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:16:898,2.120,198.709,358.827,-0.277,0.004,-0.961,-43.188,0.087,-1.361,车中车厢内部窗户皮,-43.831,0.096,-3.591,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:16:921,2.120,198.744,358.816,-0.277,0.005,-0.961,-43.188,0.090,-1.361,车中车厢内部窗户皮,-43.830,0.101,-3.590,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:16:944,2.110,198.755,358.808,-0.276,0.007,-0.961,-43.186,0.095,-1.360,车中车厢内部窗户皮,-43.827,0.111,-3.589,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:16:967,2.109,198.773,358.796,-0.276,0.008,-0.961,-43.185,0.097,-1.360,车中车厢内部窗户皮,-43.825,0.115,-3.589,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:16:988,2.117,198.787,358.802,-0.276,0.009,-0.961,-43.185,0.098,-1.360,车中车厢内部窗户皮,-43.824,0.118,-3.588,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:17:010,2.164,198.790,358.830,-0.277,0.008,-0.961,-43.187,0.098,-1.360,车中车厢内部窗户皮,-43.829,0.117,-3.588,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:17:032,2.201,198.801,358.863,-0.277,0.008,-0.961,-43.188,0.097,-1.360,车中车厢内部窗户皮,-43.830,0.116,-3.589,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:17:055,2.242,198.937,358.821,-0.281,0.007,-0.960,-43.197,0.095,-1.360,车中车厢内部窗户皮,-43.849,0.112,-3.589,隧道,0.000,0.000,0.000,Null,
2025:06:09:40:17:076,2.195,199.581,358.705,-0.292,0.007,-0.956,-43.228,0.096,-1.360,车中车厢内部窗户皮,-43.230,0.096,-1.364,SM_Plug_01a (4),-43.909,0.113,-3.589,隧道,
2025:06:09:40:17:099,2.204,200.837,358.538,-0.314,0.007,-0.950,-43.286,0.095,-1.360,车中车厢内部窗户皮,-43.233,0.094,-1.199,SM_Plug_01a (4),-44.022,0.112,-3.589,隧道,
2025:06:09:40:17:121,2.361,202.774,358.342,-0.348,0.005,-0.937,-43.384,0.091,-1.361,车中车厢内部窗户皮,-43.324,0.090,-1.199,SM_Plug_01a (4),-44.213,0.104,-3.590,隧道,
2025:06:09:40:17:155,2.710,207.085,358.420,-0.519,-0.028,-0.854,-43.925,0.006,-1.367,车中车厢内部窗户皮,-45.277,-0.067,-3.593,隧道,-44.213,0.104,-3.590,隧道,
2025:06:09:40:17:183,3.218,210.581,358.666,-0.694,-0.063,-0.717,-46.874,-0.309,-3.570,隧道,-45.277,-0.067,-3.593,隧道,-44.213,0.104,-3.590,隧道,
2025:06:09:40:17:212,4.158,216.417,359.178,-0.771,-0.079,-0.632,-45.348,-0.205,-1.382,车中车厢内部窗户皮,-47.997,-0.477,-3.553,隧道,-44.213,0.104,-3.590,隧道,
2025:06:09:40:17:235,4.862,220.449,359.803,-0.838,-0.097,-0.537,-46.246,-0.343,-1.455,GameObject,-49.474,-0.716,-3.527,隧道,-44.213,0.104,-3.590,隧道,
2025:06:09:40:17:258,5.511,225.201,0.675,-0.858,-0.096,-0.504,-50.697,-0.824,-3.859,应急疏散平台左侧空气墙,-50.110,-0.758,-3.514,隧道,-46.499,-0.355,-1.392,车中车厢内部窗户皮,
2025:06:09:40:17:279,5.701,228.682,1.297,-0.861,-0.081,-0.502,-50.230,-0.636,-3.537,隧道,-46.502,-0.286,-1.365,underground-connection (2),-46.541,-0.290,-1.388,车中车厢内部窗户皮,
2025:06:09:40:17:302,5.748,232.263,1.974,-0.834,-0.041,-0.550,-46.207,-0.097,-1.455,GameObject,-49.426,-0.254,-3.575,隧道,-46.683,-0.269,-1.386,车中车厢内部窗户皮,
2025:06:09:40:17:325,5.703,235.710,2.607,-0.851,-0.029,-0.524,-46.478,-0.054,-1.455,GameObject,-49.938,-0.172,-3.583,隧道,-46.683,-0.269,-1.386,车中车厢内部窗户皮,
2025:06:09:40:17:345,5.680,238.542,3.129,-0.858,-0.013,-0.513,-50.178,-0.039,-3.596,隧道,-46.485,0.019,-1.386,车中部车厢窗户外皮,-46.683,-0.269,-1.386,车中车厢内部窗户皮,
2025:06:09:40:17:368,5.557,240.547,3.523,-0.892,-0.025,-0.452,-46.420,-0.027,-0.995,45,-51.524,-0.169,-3.583,隧道,-46.521,-0.030,-1.047,underground-connection (2),
2025:06:09:40:17:390,5.465,242.196,3.814,-0.920,-0.028,-0.391,-53.247,-0.248,-3.576,隧道,-51.524,-0.169,-3.583,隧道,-46.521,-0.030,-1.047,underground-connection (2),
2025:06:09:40:17:413,5.371,243.548,4.062,-0.932,-0.026,-0.361,-54.265,-0.242,-3.576,隧道,-48.584,-0.085,-1.374,车中车厢内部窗户皮,-46.521,-0.030,-1.047,underground-connection (2),
2025:06:09:40:17:434,5.448,243.966,4.017,-0.932,-0.025,-0.363,-54.219,-0.229,-3.577,隧道,-48.559,-0.079,-1.373,车中车厢内部窗户皮,-46.521,-0.030,-1.047,underground-connection (2),
2025:06:09:40:17:456,5.496,244.163,3.868,-0.924,-0.019,-0.383,-53.539,-0.151,-3.585,隧道,-48.275,-0.040,-1.403,车中部车厢窗户外皮,-46.521,-0.030,-1.047,underground-connection (2),
2025:06:09:40:17:479,5.557,244.077,3.595,-0.905,-0.010,-0.426,-52.250,-0.033,-3.597,隧道,-48.275,-0.040,-1.403,车中部车厢窗户外皮,-46.521,-0.030,-1.047,underground-connection (2),
2025:06:09:40:17:502,5.675,243.719,3.303,-0.901,-0.011,-0.434,-52.051,-0.035,-3.597,隧道,-48.275,-0.040,-1.403,车中部车厢窗户外皮,-46.521,-0.030,-1.047,underground-connection (2),
2025:06:09:40:17:524,5.836,243.186,2.994,-0.883,-0.006,-0.470,-51.146,0.016,-3.598,隧道,-46.515,0.050,-1.133,underground-connection (2),-46.949,0.047,-1.364,车中车厢内部窗户皮,
2025:06:09:40:17:546,5.974,242.530,2.865,-0.875,-0.007,-0.484,-50.821,0.011,-3.599,隧道,-46.509,0.047,-1.213,underground-connection (2),-46.782,0.044,-1.364,车中车厢内部窗户皮,
2025:06:09:40:17:568,6.084,241.923,2.760,-0.866,-0.007,-0.500,-50.479,0.016,-3.598,隧道,-46.503,0.048,-1.304,underground-connection (2),-46.607,0.047,-1.364,车中车厢内部窗户皮,
2025:06:09:40:17:590,6.161,241.414,2.619,-0.861,-0.008,-0.508,-50.305,0.004,-3.600,隧道,-46.517,0.041,-1.365,车中车厢内部窗户皮,-46.563,0.043,-1.364,车中车厢内部窗户皮,
2025:06:09:40:17:611,6.218,240.961,2.489,-0.858,-0.011,-0.514,-50.181,-0.020,-3.598,隧道,-46.485,0.028,-1.383,车中部车厢窗户外皮,-46.486,0.030,-1.367,车中车厢内部窗户皮,
2025:06:09:40:17:635,6.331,240.410,2.361,-0.851,-0.014,-0.525,-46.490,0.016,-1.455,GameObject,-49.960,-0.040,-3.596,隧道,-46.484,0.014,-1.409,车中部车厢窗户外皮,
