TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:11:38:24:376,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:38:25:543,0.000,160.000,0.000,0.538,-0.379,-0.753,-39.387,-1.044,-3.427,隧道,-39.656,-0.855,-3.050,应急疏散平台左侧空气墙,0.000,0.000,0.000,Null,
2025:06:11:38:25:644,41.834,39.181,0.277,-0.001,-0.873,0.488,-42.408,-2.142,2.359,隧道右侧空气墙,-42.409,-2.518,2.569,隧道,-42.406,-0.352,1.357,车中车厢左车门4-1,
2025:06:11:38:25:685,44.757,32.511,356.916,-0.087,-0.886,0.456,-42.681,-2.584,2.499,隧道,-42.638,-2.142,2.271,隧道右侧空气墙,-42.465,-0.383,1.364,车中车厢左车门4-1,
2025:06:11:38:25:733,45.158,31.730,356.569,-0.074,-0.896,0.437,-42.644,-2.626,2.447,隧道,-42.604,-2.142,2.211,隧道右侧空气墙,-42.461,-0.403,1.362,车中车厢左车门4-1,
2025:06:11:38:25:778,46.185,27.775,355.539,-0.110,-0.899,0.423,-42.774,-2.641,2.430,隧道,-42.713,-2.142,2.195,隧道右侧空气墙,-42.496,-0.356,1.354,车中车厢左车门4-2,
2025:06:11:38:25:796,46.447,24.944,355.366,-0.125,-0.902,0.413,-42.848,-2.641,2.429,隧道,-42.779,-2.142,2.200,隧道右侧空气墙,-42.523,-0.286,1.350,车中车厢左车门4-2,
2025:06:11:38:25:819,46.588,22.364,355.292,-0.132,-0.905,0.405,-42.878,-2.650,2.418,隧道,-42.804,-2.142,2.190,隧道右侧空气墙,-42.529,-0.263,1.349,车中车厢左车门4-2,
2025:06:11:38:25:841,46.784,19.843,355.366,-0.146,-0.907,0.395,-42.906,-2.681,2.381,隧道,-42.820,-2.142,2.146,隧道右侧空气墙,-42.527,-0.320,1.352,车中车厢左车门4-2,
2025:06:11:38:25:863,46.847,18.365,355.502,-0.140,-0.911,0.388,-42.897,-2.691,2.368,隧道,-42.813,-2.142,2.134,隧道右侧空气墙,-42.530,-0.304,1.351,车中车厢左车门4-2,
2025:06:11:38:25:885,46.895,17.548,355.637,-0.142,-0.912,0.384,-42.916,-2.697,2.361,隧道,-42.829,-2.142,2.127,隧道右侧空气墙,-42.542,-0.299,1.351,车中车厢左车门4-2,
2025:06:11:38:25:907,46.983,17.083,355.725,-0.136,-0.915,0.381,-42.905,-2.703,2.353,隧道,-42.822,-2.142,2.120,隧道右侧空气墙,-42.546,-0.295,1.351,车中车厢左车门4-2,
2025:06:11:38:25:930,47.145,16.993,355.835,-0.128,-0.916,0.379,-42.884,-2.705,2.351,隧道,-42.805,-2.142,2.118,隧道右侧空气墙,-42.546,-0.288,1.350,车中车厢左车门4-2,
