TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:06:11:38:24:376,-42.500,0.000,1.000,0.000,101.760,0.000,101.760,0.000,0.000,0.000,
2025:06:11:38:25:543,-42.500,-0.593,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:38:25:644,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:38:25:685,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:38:25:733,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:38:25:778,-42.498,-1.621,1.009,0.122,0.000,0.561,0.574,0.000,0.000,0.000,
2025:06:11:38:25:796,-42.525,-1.621,1.042,-1.605,0.000,1.962,2.535,0.000,0.000,0.000,
2025:06:11:38:25:819,-42.526,-1.621,1.049,0.627,0.000,-0.471,0.784,0.000,0.000,0.000,
2025:06:11:38:25:841,-42.516,-1.621,1.042,0.577,0.000,-0.431,0.721,0.000,0.000,0.000,
2025:06:11:38:25:863,-42.519,-1.621,1.046,-0.131,0.000,0.252,0.284,-1.314,0.000,2.522,
2025:06:11:38:25:885,-42.531,-1.621,1.050,-0.213,0.000,0.084,0.229,-1.314,0.000,2.522,
2025:06:11:38:25:907,-42.536,-1.621,1.053,-0.315,0.000,0.191,0.368,-1.314,0.000,2.522,
2025:06:11:38:25:930,-42.538,-1.621,1.055,-0.112,0.000,0.101,0.151,-1.314,0.000,2.522,
2025:06:11:38:25:950,-42.561,-1.621,1.058,-1.222,0.000,0.026,1.223,-1.314,0.000,2.522,
2025:06:11:38:25:974,-42.566,-1.621,1.051,-0.290,0.000,-0.428,0.517,-10.909,0.000,-2.261,
2025:06:11:38:25:996,-42.550,-1.621,1.044,0.991,0.000,-0.470,1.096,-10.909,0.000,-2.261,
2025:06:11:38:26:018,-42.539,-1.621,1.009,-0.940,0.000,-0.792,1.229,-10.909,0.000,-2.261,
2025:06:11:38:26:040,-42.544,-1.621,1.019,-0.272,0.000,0.602,0.661,-10.909,0.000,-2.261,
2025:06:11:38:26:062,-42.556,-1.621,1.023,-0.723,0.000,0.229,0.758,-10.909,0.000,-2.261,
2025:06:11:38:26:085,-42.505,-1.621,1.007,-0.391,0.000,0.253,0.465,46.317,0.000,-12.152,
2025:06:11:38:26:106,-42.513,-1.621,1.015,-0.435,0.000,0.433,0.614,46.317,0.000,-12.152,
2025:06:11:38:26:129,-42.515,-1.621,1.018,-0.144,0.000,0.238,0.278,46.317,0.000,-12.152,
2025:06:11:38:26:151,-42.520,-1.621,1.026,-0.089,0.000,0.105,0.138,46.317,0.000,-12.152,
2025:06:11:38:26:173,-42.523,-1.621,1.029,-0.157,0.000,0.179,0.238,46.317,0.000,-12.152,
