TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:19:21:06:600,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:19:21:07:606,358.329,295.877,1.447,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:19:21:07:663,359.135,327.680,357.475,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:19:21:07:743,358.766,329.230,356.855,-0.383,0.115,0.916,-43.594,0.385,3.562,隧道,-42.659,0.103,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:07:784,358.409,330.354,356.611,-0.366,0.122,0.923,-43.539,0.399,3.561,隧道,-42.652,0.104,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:07:809,358.063,331.235,356.618,-0.352,0.128,0.927,-43.495,0.413,3.559,隧道,-42.646,0.105,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:07:830,357.897,331.584,356.667,-0.348,0.131,0.928,-43.482,0.421,3.558,隧道,-42.644,0.106,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:07:853,357.673,331.947,356.695,-0.343,0.135,0.929,-43.467,0.432,3.557,隧道,-42.642,0.107,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:07:875,357.365,332.315,356.697,-0.340,0.141,0.930,-43.454,0.446,3.556,隧道,-42.640,0.108,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:07:897,357.107,332.549,356.725,-0.336,0.146,0.930,-43.445,0.457,3.555,隧道,-42.639,0.109,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:07:920,356.740,332.991,356.765,-0.331,0.152,0.931,-43.427,0.474,3.553,隧道,-42.636,0.110,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:07:943,356.547,333.301,356.811,-0.328,0.156,0.932,-43.420,0.483,3.552,隧道,-42.635,0.111,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:07:963,356.421,333.466,356.765,-0.328,0.158,0.931,-43.418,0.489,3.552,隧道,-42.634,0.111,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:07:985,356.521,333.606,356.844,-0.331,0.157,0.931,-43.426,0.486,3.552,隧道,-42.635,0.111,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:08:008,356.641,333.666,357.006,-0.331,0.155,0.931,-43.426,0.482,3.553,隧道,-42.635,0.110,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:08:031,356.765,333.669,357.207,-0.337,0.154,0.929,-43.445,0.479,3.553,隧道,-42.636,0.110,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:08:053,356.738,333.649,357.399,-0.338,0.155,0.928,-43.446,0.481,3.553,隧道,-42.636,0.110,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:08:074,356.669,333.558,357.578,-0.343,0.156,0.926,-43.462,0.486,3.552,隧道,-42.638,0.111,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:08:097,356.588,333.375,357.729,-0.349,0.158,0.924,-43.482,0.491,3.552,隧道,-42.640,0.111,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:08:118,356.606,333.081,357.627,-0.357,0.156,0.921,-43.507,0.487,3.552,隧道,-42.643,0.110,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:08:140,356.713,332.708,357.509,-0.365,0.153,0.918,-43.532,0.479,3.553,隧道,-42.646,0.110,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:08:164,356.977,332.209,357.233,-0.376,0.146,0.915,-43.565,0.463,3.554,隧道,-42.650,0.108,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:08:186,357.238,331.666,356.981,-0.386,0.140,0.912,-43.599,0.448,3.556,隧道,-42.654,0.107,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:08:207,357.582,331.060,356.824,-0.397,0.133,0.908,-43.633,0.432,3.557,隧道,-42.659,0.106,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:08:227,358.024,330.263,356.710,-0.411,0.124,0.903,-43.681,0.412,3.559,隧道,-42.665,0.104,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:08:250,358.347,329.384,356.615,-0.431,0.118,0.895,-43.749,0.397,3.561,隧道,-42.672,0.103,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:08:273,358.796,328.429,356.651,-0.480,0.112,0.870,-43.922,0.390,3.562,隧道,-42.688,0.102,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:08:297,359.153,327.380,356.664,-0.660,0.097,0.745,-44.735,0.394,3.561,隧道,-42.753,0.103,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:08:319,359.374,326.688,356.807,-0.698,0.102,0.709,-44.971,0.426,3.558,隧道,-42.774,0.105,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:08:354,0.042,324.788,357.117,-0.733,0.105,0.673,-45.228,0.455,3.555,隧道,-42.801,0.108,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:08:375,0.333,323.454,357.283,-0.742,0.109,0.662,-45.308,0.479,3.553,隧道,-42.812,0.110,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:08:400,0.634,322.186,357.508,-0.747,0.103,0.656,-45.358,0.459,3.555,隧道,-42.820,0.109,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:08:420,0.956,320.876,357.793,-0.745,0.098,0.659,-45.345,0.438,3.557,隧道,-42.824,0.108,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:19:21:08:443,1.289,319.166,358.031,-0.757,0.093,0.647,-45.451,0.428,3.558,隧道,-42.838,0.107,1.326,车中车厢左车门4-2,0.000,0.000,0.000,Null,
