TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:06:19:21:06:600,-42.500,-0.491,1.000,0.000,-29.430,0.000,29.430,0.000,0.000,0.000,
2025:06:19:21:07:606,-42.500,-0.985,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:07:663,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:07:743,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:07:784,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:07:809,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:07:830,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:07:853,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:07:875,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:07:897,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:07:920,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:07:943,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:07:963,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:07:985,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:008,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:031,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:053,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:074,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:097,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:118,-42.502,-1.621,1.004,-0.124,0.000,0.246,0.275,0.000,0.000,0.000,
2025:06:19:21:08:140,-42.502,-1.621,1.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:164,-42.504,-1.621,1.008,0.000,0.000,0.000,0.000,-1.241,0.000,2.394,
2025:06:19:21:08:186,-42.504,-1.621,1.008,0.000,0.000,0.000,0.000,-1.241,0.000,2.394,
2025:06:19:21:08:207,-42.504,-1.621,1.008,0.000,0.000,0.000,0.000,-1.241,0.000,2.394,
2025:06:19:21:08:227,-42.507,-1.621,1.014,-0.049,0.000,0.085,0.098,-1.241,0.000,2.394,
2025:06:19:21:08:250,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,-1.241,0.000,2.394,
2025:06:19:21:08:273,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,1.241,0.000,-2.394,
2025:06:19:21:08:297,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,1.241,0.000,-2.394,
2025:06:19:21:08:319,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,1.241,0.000,-2.394,
2025:06:19:21:08:354,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,1.241,0.000,-2.394,
2025:06:19:21:08:375,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:400,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:420,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:443,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:465,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:487,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:510,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:532,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:554,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:577,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:598,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:620,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:643,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:663,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:686,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:710,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:730,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:754,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:775,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:796,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:819,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:842,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:865,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:885,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:910,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:931,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:952,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:975,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:08:998,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:09:019,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:09:043,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:09:065,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:09:087,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:09:109,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:09:132,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:09:152,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:09:175,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:09:196,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:09:220,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:09:248,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:09:271,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:09:292,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:09:315,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:09:340,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:09:359,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:09:384,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:09:405,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:09:429,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:09:448,-42.507,-1.621,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:19:21:09:471,-42.512,-1.621,0.999,-0.280,0.000,-0.886,0.929,0.000,0.000,0.000,
2025:06:19:21:09:493,-42.516,-1.621,0.986,-0.274,0.000,-0.769,0.817,0.000,0.000,0.000,
2025:06:19:21:09:517,-42.508,-1.621,0.913,-0.030,0.000,-1.057,1.057,0.000,0.000,0.000,
2025:06:19:21:09:540,-42.508,-1.621,0.895,-0.009,0.000,-1.073,1.073,0.000,0.000,0.000,
2025:06:19:21:09:560,-42.504,-1.621,0.860,0.246,0.000,-2.140,2.154,2.456,0.000,-21.396,
2025:06:19:21:09:582,-42.489,-1.621,0.813,0.308,0.000,-0.813,0.869,2.456,0.000,-21.396,
2025:06:19:21:09:603,-42.478,-1.621,0.784,0.669,0.000,-1.775,1.897,2.456,0.000,-21.396,
2025:06:19:21:09:627,-42.472,-1.621,0.767,0.384,0.000,-0.998,1.069,2.456,0.000,-21.396,
2025:06:19:21:09:649,-42.454,-1.621,0.722,0.358,0.000,-0.855,0.927,2.456,0.000,-21.396,
2025:06:19:21:09:670,-42.441,-1.621,0.693,0.765,0.000,-1.731,1.892,5.196,0.000,4.088,
2025:06:19:21:09:693,-42.448,-1.621,0.689,-0.395,0.000,-0.259,0.472,5.196,0.000,4.088,
2025:06:19:21:09:715,-42.474,-1.621,0.686,-0.975,0.000,0.035,0.976,5.196,0.000,4.088,
2025:06:19:21:09:736,-42.495,-1.621,0.685,-1.287,0.000,-0.065,1.289,5.196,0.000,4.088,
2025:06:19:21:09:757,-42.505,-1.621,0.685,-0.583,0.000,0.021,0.583,5.196,0.000,4.088,
2025:06:19:21:09:778,-42.548,-1.621,0.696,-0.941,0.000,0.337,1.000,-17.063,0.000,20.679,
