TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:10:39:55:714,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:39:56:914,0.000,160.000,0.000,-0.043,-0.119,-0.992,-42.639,0.585,-3.542,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:39:57:074,349.009,30.501,356.027,0.845,0.026,0.535,-38.552,0.199,3.580,隧道,-42.107,0.088,1.330,车中车厢左车门4-1,0.000,0.000,0.000,Null,
2025:06:10:39:57:186,350.055,46.409,356.292,0.945,0.022,0.325,-35.211,0.246,3.576,隧道,-41.697,0.095,1.343,SM_Plug_01a,-41.663,0.095,1.354,车中车厢内部窗户皮,
2025:06:10:39:57:243,350.198,51.868,356.222,0.959,0.021,0.282,-33.935,0.263,3.574,隧道,-41.697,0.093,1.294,SM_Plug_01a,-41.492,0.098,1.354,车中车厢内部窗户皮,
2025:06:10:39:57:301,350.561,53.986,356.211,0.961,0.005,0.275,-33.640,0.124,3.588,隧道,-41.697,0.082,1.283,SM_Plug_01a,-41.445,0.083,1.355,车中车厢内部窗户皮,
2025:06:10:39:57:323,350.639,53.810,356.234,0.959,0.001,0.283,-33.900,0.084,3.592,隧道,-41.697,0.079,1.290,SM_Plug_01a,-41.474,0.079,1.356,车中车厢内部窗户皮,
2025:06:10:39:57:347,350.682,53.628,356.253,0.955,-0.004,0.297,-34.326,0.042,3.596,隧道,-41.697,0.075,1.301,SM_Plug_01a,-41.521,0.075,1.356,车中车厢内部窗户皮,
2025:06:10:39:57:367,350.685,53.329,356.274,0.952,-0.007,0.306,-34.562,0.022,3.598,隧道,-41.697,0.074,1.309,SM_Plug_01a,-41.549,0.073,1.356,车中车厢内部窗户皮,
2025:06:10:39:57:390,350.773,53.010,356.289,0.949,-0.009,0.315,-34.810,0.003,3.600,隧道,-41.697,0.072,1.317,SM_Plug_01a,-41.577,0.071,1.356,车中车厢内部窗户皮,
2025:06:10:39:57:413,350.862,52.620,356.310,0.945,-0.013,0.326,-35.101,-0.024,3.598,隧道,-41.697,0.069,1.327,SM_Plug_01a,-41.610,0.068,1.357,车中车厢内部窗户皮,
2025:06:10:39:57:433,350.916,52.254,356.316,0.943,-0.017,0.333,-35.297,-0.048,3.595,隧道,-41.697,0.066,1.334,SM_Plug_01a,-41.631,0.065,1.357,车中车厢内部窗户皮,
2025:06:10:39:57:456,351.020,51.832,356.338,0.941,-0.020,0.339,-35.448,-0.069,3.593,隧道,-41.697,0.064,1.340,SM_Plug_01a,-41.649,0.063,1.357,车中车厢内部窗户皮,
2025:06:10:39:57:480,351.129,51.357,356.370,0.937,-0.022,0.347,-35.639,-0.080,3.592,隧道,-41.697,0.062,1.348,SM_Plug_01a,-41.672,0.062,1.357,车中车厢内部窗户皮,
2025:06:10:39:57:501,351.249,50.880,356.391,0.935,-0.022,0.355,-35.813,-0.078,3.592,隧道,-41.697,0.062,1.356,SM_Plug_01a,-41.693,0.062,1.357,车中车厢内部窗户皮,
2025:06:10:39:57:523,351.335,50.351,356.395,0.931,-0.023,0.364,-36.000,-0.076,3.593,隧道,-41.697,0.062,1.365,SM_Plug_01a,-41.716,0.062,1.357,车中车厢内部窗户皮,
2025:06:10:39:57:546,351.353,49.852,356.349,0.927,-0.021,0.374,-36.193,-0.064,3.594,隧道,-41.697,0.063,1.374,SM_Plug_01a,-41.740,0.064,1.357,车中车厢内部窗户皮,
2025:06:10:39:57:567,351.381,49.306,356.302,0.922,-0.021,0.386,-36.416,-0.057,3.594,隧道,-41.697,0.063,1.386,SM_Plug_01a,-41.766,0.064,1.357,车中车厢内部窗户皮,
2025:06:10:39:57:590,351.503,48.659,356.156,0.740,-0.065,0.670,-39.643,-0.161,3.584,隧道,-42.130,0.056,1.332,车中车厢左车门4-1,-41.766,0.064,1.357,车中车厢内部窗户皮,
2025:06:10:39:57:613,351.613,48.144,356.056,0.720,-0.072,0.690,-39.800,-0.179,3.582,隧道,-42.146,0.055,1.332,车中车厢左车门4-1,-41.766,0.064,1.357,车中车厢内部窗户皮,
2025:06:10:39:57:635,351.759,47.566,355.961,0.670,-0.085,0.737,-40.135,-0.208,3.579,隧道,-42.179,0.052,1.332,车中车厢左车门4-1,-42.168,0.053,1.332,车中车厢左车门4-1,
2025:06:10:39:57:656,352.078,46.982,355.799,0.667,-0.090,0.739,-40.156,-0.224,3.578,隧道,-42.183,0.050,1.332,车中车厢左车门4-1,-42.168,0.053,1.332,车中车厢左车门4-1,
2025:06:10:39:57:678,352.632,46.564,355.653,0.636,-0.104,0.764,-40.334,-0.257,3.575,隧道,-42.200,0.047,1.332,车中车厢左车门4-1,-42.168,0.053,1.332,车中车厢左车门4-1,
2025:06:10:39:57:701,353.091,46.288,355.649,0.671,-0.112,0.733,-40.135,-0.300,3.570,隧道,-42.182,0.043,1.333,车中车厢左车门4-1,-42.168,0.053,1.332,车中车厢左车门4-1,
2025:06:10:39:57:723,353.587,45.889,355.596,0.670,-0.121,0.732,-40.139,-0.329,3.568,隧道,-42.183,0.041,1.333,车中车厢左车门4-1,-42.168,0.053,1.332,车中车厢左车门4-1,
2025:06:10:39:57:745,354.344,45.599,355.579,0.674,-0.133,0.727,-40.115,-0.371,3.563,隧道,-42.181,0.037,1.333,车中车厢左车门4-1,-42.168,0.053,1.332,车中车厢左车门4-1,
2025:06:10:39:57:767,354.984,45.586,355.590,0.676,-0.141,0.723,-40.098,-0.399,3.561,隧道,-42.179,0.034,1.333,车中车厢左车门4-1,-42.168,0.053,1.332,车中车厢左车门4-1,
2025:06:10:39:57:790,355.646,45.669,355.536,0.672,-0.147,0.726,-40.121,-0.419,3.559,隧道,-42.181,0.032,1.333,车中车厢左车门4-1,-42.168,0.053,1.332,车中车厢左车门4-1,
2025:06:10:39:57:813,356.652,45.912,355.553,0.674,-0.164,0.720,-40.101,-0.477,3.553,隧道,-42.178,0.026,1.334,车中车厢左车门4-1,-42.168,0.053,1.332,车中车厢左车门4-1,
2025:06:10:39:57:835,357.933,46.239,355.725,0.673,-0.182,0.717,-40.098,-0.541,3.547,隧道,-42.175,0.020,1.334,车中车厢左车门4-1,-42.168,0.053,1.332,车中车厢左车门4-1,
2025:06:10:39:57:855,358.787,46.761,355.758,0.684,-0.191,0.704,-40.020,-0.584,3.542,隧道,-39.943,-0.606,3.622,隧道,-42.166,0.016,1.334,车中车厢左车门4-1,
2025:06:10:39:57:879,359.113,47.504,355.732,0.712,-0.204,0.672,-39.813,-0.659,3.535,隧道,-42.142,0.008,1.335,车中车厢左车门4-1,-42.166,0.016,1.334,车中车厢左车门4-1,
2025:06:10:39:57:901,359.327,48.385,355.706,0.801,-0.237,0.550,-38.955,-0.939,3.459,隧道,-42.042,-0.024,1.337,车中车厢左车门4-1,-42.166,0.016,1.334,车中车厢左车门4-1,
2025:06:10:39:57:923,359.906,49.262,355.772,0.839,-0.254,0.481,-38.289,-1.164,3.446,隧道,-41.966,-0.049,1.339,车中车厢左车门4-1,-42.166,0.016,1.334,车中车厢左车门4-1,
2025:06:10:39:57:946,0.314,50.246,355.836,0.870,-0.270,0.413,-41.767,-0.113,1.389,车中部车厢窗户外皮,-37.688,-1.381,3.324,隧道,-41.868,-0.082,1.341,车中车厢左车门4-1,
2025:06:10:39:57:968,0.624,51.506,355.817,0.886,-0.279,0.369,-37.235,-1.543,3.238,隧道,-41.717,-0.131,1.371,车中车厢内部窗户皮,-41.847,-0.090,1.341,车中车厢左车门4-1,
2025:06:10:39:57:990,0.979,52.613,355.845,0.896,-0.287,0.340,-36.907,-1.675,3.167,隧道,-41.638,-0.159,1.373,车中车厢内部窗户皮,-41.847,-0.090,1.341,车中车厢左车门4-1,
2025:06:10:39:58:012,1.164,53.979,355.935,0.892,-0.281,0.354,-37.044,-1.603,3.205,隧道,-41.664,-0.147,1.372,车中车厢内部窗户皮,-41.847,-0.090,1.341,车中车厢左车门4-1,
2025:06:10:39:58:033,1.196,55.544,356.031,0.900,-0.280,0.333,-36.741,-1.675,3.167,隧道,-41.596,-0.164,1.373,车中车厢内部窗户皮,-41.847,-0.090,1.341,车中车厢左车门4-1,
2025:06:10:39:58:057,1.136,57.481,356.124,0.910,-0.280,0.306,-36.334,-1.782,3.110,隧道,-41.697,-0.130,1.308,SM_Plug_01a,-41.497,-0.191,1.375,车中车厢内部窗户皮,
2025:06:10:39:58:079,1.010,59.844,356.298,0.920,-0.280,0.273,-35.771,-1.931,3.030,隧道,-41.697,-0.127,1.275,SM_Plug_01a,-41.349,-0.233,1.378,车中车厢内部窗户皮,
2025:06:10:39:58:099,0.868,62.389,356.562,0.932,-0.276,0.235,-35.046,-2.093,2.917,隧道,-41.697,-0.120,1.239,SM_Plug_01a,-41.129,-0.288,1.382,车中车厢内部窗户皮,
2025:06:10:39:58:123,0.876,64.808,356.827,0.941,-0.277,0.193,-34.813,-2.142,2.616,隧道右侧空气墙,-34.229,-2.314,2.736,隧道,-41.001,-0.326,1.385,车中车厢内部窗户皮,
2025:06:10:39:58:145,0.884,67.727,357.149,0.972,-0.235,0.032,-34.998,-1.701,1.299,车中车内底板.001,-36.589,-1.317,1.247,车中车厢座椅,-28.572,-3.255,1.510,隧道,
2025:06:10:39:58:168,1.002,70.236,357.432,0.976,-0.215,-0.044,-34.268,-1.701,0.689,车中车内底板.001,-25.780,-3.569,0.310,隧道,-28.593,-2.950,0.435,道床,
2025:06:10:39:58:198,1.144,74.684,358.243,0.971,-0.175,-0.160,-32.496,-1.701,-0.582,车中车内底板.001,-34.883,-1.271,-0.190,41,-24.862,-3.080,-1.838,隧道,
2025:06:10:39:58:220,1.190,78.501,358.700,0.958,-0.164,-0.236,-31.974,-1.701,-1.527,车中车内底板.001,-34.149,-1.328,-0.991,车中车厢座椅,-27.552,-2.460,-2.616,隧道,
2025:06:10:39:58:244,1.089,80.755,358.919,0.948,-0.159,-0.274,-32.043,-1.650,-1.956,planty,-33.817,-1.352,-1.443,车中车厢内部下部条纹,-34.554,-1.229,-1.230,车中车厢座椅,
2025:06:10:39:58:265,0.844,84.021,359.231,0.937,-0.165,-0.308,-32.523,-1.650,-2.213,planty,-34.872,-1.237,-1.442,车中车厢内部下部条纹,-35.454,-1.135,-1.250,车中车厢座椅,
2025:06:10:39:58:287,0.518,86.823,359.186,0.934,-0.170,-0.315,-32.873,-1.650,-2.189,planty,-35.088,-1.246,-1.442,车中车厢内部下部条纹,-35.660,-1.142,-1.249,车中车厢座椅,
2025:06:10:39:58:310,0.113,89.857,359.211,0.917,-0.163,-0.365,-32.633,-1.650,-2.867,planty,-36.594,-0.945,-1.290,车中车厢座椅,-31.997,-1.763,-3.120,隧道,
2025:06:10:39:58:331,359.635,92.917,359.205,0.922,-0.172,-0.347,-33.099,-1.650,-2.489,planty,-35.888,-1.129,-1.439,车中车厢内部下部条纹,-36.340,-1.045,-1.269,车中车厢座椅,
2025:06:10:39:58:355,359.119,95.823,359.208,0.929,-0.193,-0.316,-35.214,-1.402,-1.444,车中车厢内部下部条纹,-35.864,-1.267,-1.222,车中车厢座椅,-39.711,-0.469,0.087,2,
