TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:15:02:56:575,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:57:744,0.000,160.000,0.000,0.352,0.053,-0.935,-40.889,1.447,-3.289,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:57:842,355.628,113.159,0.891,0.910,0.136,-0.392,-32.636,1.531,-3.244,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:57:930,355.487,114.171,1.173,0.901,0.143,-0.409,-33.168,1.540,-3.239,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:57:990,355.932,115.000,0.908,0.882,0.137,-0.451,-34.013,1.371,-3.328,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:042,356.486,115.328,0.635,0.882,0.125,-0.455,-34.042,1.263,-3.361,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:075,356.611,115.402,0.379,0.878,0.122,-0.462,-34.181,1.220,-3.374,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:098,356.442,115.430,0.465,0.877,0.127,-0.464,-34.230,1.253,-3.364,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:119,356.304,115.418,0.657,0.877,0.130,-0.463,-34.233,1.288,-3.353,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:141,356.285,115.357,0.771,0.877,0.133,-0.462,-34.232,1.310,-3.347,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:170,356.424,115.153,0.855,0.878,0.131,-0.461,-34.197,1.302,-3.349,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:200,356.640,114.984,0.716,0.879,0.130,-0.459,-34.146,1.296,-3.351,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:223,356.759,114.940,0.501,0.880,0.128,-0.458,-34.110,1.276,-3.357,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:245,356.862,114.965,0.271,0.880,0.126,-0.458,-34.101,1.263,-3.361,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:266,356.934,115.014,0.167,0.880,0.125,-0.459,-34.120,1.254,-3.363,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:290,357.084,115.072,0.051,0.880,0.120,-0.459,-34.091,1.210,-3.377,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:311,357.167,115.190,359.936,0.878,0.119,-0.464,-34.194,1.191,-3.383,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:331,357.118,115.349,359.796,0.855,0.132,-0.501,-35.003,1.211,-3.377,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:354,357.118,115.511,359.674,0.775,0.181,-0.606,-36.906,1.356,-3.332,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:378,357.110,115.659,359.588,0.761,0.189,-0.621,-37.147,1.377,-3.326,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:399,357.084,115.743,359.530,0.751,0.195,-0.631,-37.300,1.394,-3.317,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:422,357.052,115.828,359.471,0.758,0.193,-0.623,-37.198,1.394,-3.317,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:445,357.024,115.883,359.348,0.762,0.188,-0.620,-37.131,1.372,-3.328,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:466,357.034,115.903,359.251,0.768,0.182,-0.615,-37.032,1.342,-3.337,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:489,357.083,115.873,359.206,0.770,0.179,-0.612,-36.983,1.330,-3.341,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:511,357.178,115.847,359.159,0.774,0.175,-0.609,-36.924,1.308,-3.347,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:532,357.316,115.841,359.079,0.775,0.172,-0.608,-36.899,1.292,-3.352,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:556,357.467,115.776,359.036,0.776,0.169,-0.607,-36.876,1.275,-3.357,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:577,357.634,115.612,358.998,0.779,0.166,-0.605,-36.831,1.259,-3.362,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:597,357.914,115.407,358.974,0.782,0.162,-0.602,-36.773,1.239,-3.368,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:621,358.360,115.129,358.920,0.847,0.167,-0.504,-35.284,1.476,-3.273,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:643,358.949,114.779,358.863,0.863,0.153,-0.482,-34.774,1.424,-3.301,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:665,359.385,114.416,358.902,0.870,0.142,-0.472,-34.498,1.366,-3.329,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:689,359.897,114.010,358.901,0.875,0.134,-0.465,-34.289,1.313,-3.346,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:710,0.362,113.651,358.854,0.875,0.126,-0.467,-34.286,1.244,-3.366,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:732,0.873,113.360,358.702,0.878,0.123,-0.463,-34.185,1.227,-3.372,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:756,1.380,113.104,358.496,0.884,0.114,-0.454,-33.937,1.169,-3.389,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:776,1.915,112.905,358.255,0.882,0.114,-0.458,-34.019,1.158,-3.392,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:799,2.275,112.865,358.078,0.881,0.111,-0.460,-34.035,1.130,-3.401,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:822,2.587,112.986,357.829,0.878,0.111,-0.465,-34.157,1.119,-3.404,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:844,2.883,113.267,357.585,0.875,0.109,-0.472,-34.251,1.090,-3.432,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:866,3.391,113.818,357.287,0.870,0.102,-0.482,-34.461,1.002,-3.440,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:894,4.105,114.563,357.049,0.862,0.097,-0.498,-34.745,0.934,-3.460,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:915,4.633,114.977,356.943,0.854,0.095,-0.511,-34.999,0.893,-3.473,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:02:58:938,5.492,115.723,356.723,0.846,0.083,-0.527,-38.777,0.427,-1.300,车中车厢内部上部条纹,-35.233,0.773,-3.509,隧道,0.000,0.000,0.000,Null,
2025:06:15:02:58:960,6.176,116.458,356.675,0.837,0.074,-0.542,-38.885,0.383,-1.314,车中车厢内部上部条纹,-35.455,0.686,-3.532,隧道,0.000,0.000,0.000,Null,
2025:06:15:02:58:981,7.061,117.438,356.402,0.815,0.063,-0.576,-39.158,0.323,-1.329,车中车厢内部上部条纹,-36.024,0.564,-3.544,隧道,0.000,0.000,0.000,Null,
