TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:06:15:02:56:575,-42.500,0.000,1.000,0.000,101.760,0.000,101.760,0.000,0.000,0.000,
2025:06:15:02:57:744,-42.500,-0.494,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:57:842,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:57:930,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:57:990,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:042,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:075,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:098,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:119,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:141,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:170,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:200,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:223,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:245,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:266,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:290,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:311,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:331,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:354,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:378,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:399,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:422,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:445,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:466,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:489,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:511,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:532,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:556,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:577,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:597,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:621,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:643,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:665,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:689,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:710,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:732,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:756,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:776,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:799,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:822,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:844,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:866,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:58:894,-42.495,-1.621,0.998,0.125,0.000,-0.057,0.137,0.000,0.000,0.000,
2025:06:15:02:58:915,-42.491,-1.621,0.996,0.247,0.000,-0.115,0.273,0.000,0.000,0.000,
2025:06:15:02:58:938,-42.488,-1.621,0.994,0.176,0.000,-0.078,0.192,0.000,0.000,0.000,
2025:06:15:02:58:960,-42.477,-1.621,0.990,0.243,0.000,-0.088,0.258,4.042,0.000,-1.813,
2025:06:15:02:58:981,-42.468,-1.621,0.986,0.568,0.000,-0.225,0.611,4.042,0.000,-1.813,
2025:06:15:02:59:003,-42.463,-1.621,0.984,0.299,0.000,-0.130,0.326,4.042,0.000,-1.813,
2025:06:15:02:59:027,-42.455,-1.621,0.980,0.080,0.000,-0.061,0.101,4.042,0.000,-1.813,
2025:06:15:02:59:048,-42.453,-1.621,0.978,0.124,0.000,-0.094,0.156,4.042,0.000,-1.813,
2025:06:15:02:59:071,-42.452,-1.621,0.978,0.060,0.000,-0.046,0.075,-2.802,0.000,0.870,
2025:06:15:02:59:094,-42.452,-1.621,0.978,0.000,0.000,0.000,0.000,-2.802,0.000,0.870,
2025:06:15:02:59:115,-42.452,-1.621,0.978,0.000,0.000,0.000,0.000,-2.802,0.000,0.870,
2025:06:15:02:59:138,-42.452,-1.621,0.978,0.000,0.000,0.000,0.000,-2.802,0.000,0.870,
2025:06:15:02:59:160,-42.452,-1.621,0.978,0.000,0.000,0.000,0.000,-2.802,0.000,0.870,
2025:06:15:02:59:181,-42.452,-1.621,0.978,0.000,0.000,0.000,0.000,-1.241,0.000,0.943,
2025:06:15:02:59:204,-42.452,-1.621,0.978,0.000,0.000,0.000,0.000,-1.241,0.000,0.943,
2025:06:15:02:59:238,-42.452,-1.621,0.978,0.000,0.000,0.000,0.000,-1.241,0.000,0.943,
2025:06:15:02:59:259,-42.452,-1.621,0.978,0.000,0.000,0.000,0.000,-1.241,0.000,0.943,
2025:06:15:02:59:289,-42.452,-1.621,0.978,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:15:02:59:320,-42.451,-1.621,0.976,0.071,0.000,-0.102,0.124,0.000,0.000,0.000,
2025:06:15:02:59:342,-42.450,-1.621,0.974,0.067,0.000,-0.102,0.122,0.000,0.000,0.000,
2025:06:15:02:59:370,-42.446,-1.621,0.967,0.110,0.000,-0.205,0.233,0.000,0.000,0.000,
2025:06:15:02:59:391,-42.444,-1.621,0.964,0.092,0.000,-0.203,0.224,1.099,0.000,-2.055,
2025:06:15:02:59:414,-42.441,-1.621,0.954,0.077,0.000,-0.220,0.233,1.099,0.000,-2.055,
