TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:11:01:19:955,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:01:21:150,0.000,160.000,0.000,0.284,-0.164,-0.945,-41.122,0.443,-3.556,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:11:01:21:260,349.737,285.316,5.602,-0.965,-0.074,0.253,-43.880,-0.016,1.363,车中车厢内部窗户皮,-52.183,-0.649,3.536,隧道,0.000,0.000,0.000,Null,
2025:06:11:01:21:348,349.787,285.188,5.572,-0.948,-0.197,0.250,-43.918,-0.186,1.375,车中车厢内部窗户皮,-50.833,-1.621,3.196,隧道,0.000,0.000,0.000,Null,
2025:06:11:01:21:407,349.886,285.152,5.581,-0.940,-0.231,0.251,-43.915,-0.233,1.378,车中车厢内部窗户皮,-50.451,-1.836,3.122,隧道,0.000,0.000,0.000,Null,
2025:06:11:01:21:460,350.014,285.183,5.645,-0.904,-0.163,0.396,-43.390,-0.055,1.365,车中车厢内部窗户皮,-48.185,-0.918,3.466,隧道,0.000,0.000,0.000,Null,
2025:06:11:01:21:488,350.204,285.170,5.707,-0.908,-0.124,0.401,-43.378,-0.021,1.363,车中车厢内部窗户皮,-48.291,-0.691,3.532,隧道,0.000,0.000,0.000,Null,
2025:06:11:01:21:510,350.176,285.158,5.691,-0.909,-0.104,0.403,-43.373,-0.005,1.362,车中车厢内部窗户皮,-48.298,-0.570,3.544,隧道,0.000,0.000,0.000,Null,
2025:06:11:01:21:532,350.071,285.154,5.663,-0.912,-0.088,0.400,-43.378,0.008,1.361,车中车厢内部窗户皮,-48.371,-0.473,3.553,隧道,0.000,0.000,0.000,Null,
2025:06:11:01:21:553,349.953,285.156,5.680,-0.915,-0.071,0.397,-43.384,0.021,1.360,车中车厢内部窗户皮,-48.455,-0.373,3.563,隧道,0.000,0.000,0.000,Null,
