TimeStamp,PosX,PosY,PosZ,VeloX,VeloY,VeloZ,AbsVelo,AccX,AccY,AccZ,
2025:06:11:01:19:955,-42.500,0.000,1.000,0.000,101.760,0.000,101.760,0.000,0.000,0.000,
2025:06:11:01:21:150,-42.500,-0.494,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:01:21:260,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:01:21:348,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:01:21:407,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:01:21:460,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:01:21:488,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:01:21:510,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:01:21:532,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:01:21:553,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:01:21:576,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:01:21:597,-42.500,-1.621,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2025:06:11:01:21:621,-42.504,-1.621,1.001,-0.138,0.000,0.037,0.143,-1.229,0.000,0.332,
2025:06:11:01:21:642,-42.509,-1.621,1.002,-0.273,0.000,0.073,0.282,-1.229,0.000,0.332,
2025:06:11:01:21:666,-42.511,-1.621,1.003,-0.132,0.000,0.035,0.137,-1.229,0.000,0.332,
2025:06:11:01:21:687,-42.515,-1.621,1.004,-0.260,0.000,0.069,0.269,-1.229,0.000,0.332,
2025:06:11:01:21:708,-42.524,-1.621,1.006,-0.186,0.000,0.050,0.193,-1.229,0.000,0.332,
2025:06:11:01:21:730,-42.531,-1.621,1.008,-0.409,0.000,0.106,0.422,-0.629,0.000,0.172,
2025:06:11:01:21:752,-42.534,-1.621,1.009,-0.206,0.000,0.051,0.213,-0.629,0.000,0.172,
2025:06:11:01:21:774,-42.546,-1.621,1.012,-0.225,0.000,0.050,0.231,-0.629,0.000,0.172,
2025:06:11:01:21:796,-42.557,-1.621,1.014,-0.709,0.000,0.161,0.727,-0.629,0.000,0.172,
2025:06:11:01:21:817,-42.563,-1.621,1.016,-0.347,0.000,0.074,0.355,-0.629,0.000,0.172,
2025:06:11:01:21:839,-42.582,-1.621,1.019,-0.372,0.000,0.069,0.378,-5.878,0.000,1.055,
2025:06:11:01:21:859,-42.595,-1.621,1.022,-0.770,0.000,0.131,0.781,-5.878,0.000,1.055,
2025:06:11:01:21:881,-42.608,-1.621,1.024,-0.804,0.000,0.118,0.813,-5.878,0.000,1.055,
2025:06:11:01:21:903,-42.615,-1.621,1.024,-0.383,0.000,0.049,0.386,-5.878,0.000,1.055,
2025:06:11:01:21:922,-42.635,-1.621,1.027,-0.379,0.000,0.038,0.381,-5.878,0.000,1.055,
2025:06:11:01:21:944,-42.650,-1.621,1.028,-0.873,0.000,0.073,0.876,3.946,0.000,-1.184,
2025:06:11:01:21:966,-42.657,-1.621,1.028,-0.406,0.000,0.026,0.407,3.946,0.000,-1.184,
2025:06:11:01:21:989,-42.678,-1.621,1.029,-0.421,0.000,0.014,0.421,3.946,0.000,-1.184,
2025:06:11:01:22:009,-42.692,-1.621,1.029,-0.835,0.000,0.015,0.835,3.946,0.000,-1.184,
2025:06:11:01:22:033,-42.699,-1.621,1.029,-0.415,0.000,0.003,0.415,3.946,0.000,-1.184,
2025:06:11:01:22:055,-42.712,-1.621,1.030,-0.143,0.000,0.004,0.143,-2.827,0.000,-0.318,
2025:06:11:01:22:076,-42.716,-1.621,1.030,-0.223,0.000,0.002,0.223,-2.827,0.000,-0.318,
2025:06:11:01:22:098,-42.719,-1.621,1.029,-0.227,0.000,-0.012,0.227,-2.827,0.000,-0.318,
2025:06:11:01:22:121,-42.732,-1.621,1.029,-0.230,0.000,-0.017,0.231,-2.827,0.000,-0.318,
2025:06:11:01:22:142,-42.740,-1.621,1.028,-0.510,0.000,-0.042,0.512,-2.827,0.000,-0.318,
2025:06:11:01:22:167,-42.744,-1.621,1.027,-0.264,0.000,-0.024,0.265,3.978,0.000,-0.294,
2025:06:11:01:22:187,-42.757,-1.621,1.026,-0.240,0.000,-0.025,0.241,3.978,0.000,-0.294,
2025:06:11:01:22:210,-42.766,-1.621,1.025,-0.530,0.000,-0.063,0.534,3.978,0.000,-0.294,
2025:06:11:01:22:233,-42.770,-1.621,1.025,-0.241,0.000,-0.030,0.243,3.978,0.000,-0.294,
2025:06:11:01:22:254,-42.778,-1.621,1.024,-0.518,0.000,-0.069,0.522,3.978,0.000,-0.294,
2025:06:11:01:22:277,-42.791,-1.621,1.022,-0.294,0.000,-0.043,0.297,-2.268,0.000,-0.458,
2025:06:11:01:22:299,-42.796,-1.621,1.021,-0.254,0.000,-0.038,0.257,-2.268,0.000,-0.458,
2025:06:11:01:22:321,-42.808,-1.621,1.019,-0.245,0.000,-0.039,0.248,-2.268,0.000,-0.458,
2025:06:11:01:22:343,-42.818,-1.621,1.018,-0.554,0.000,-0.091,0.561,-2.268,0.000,-0.458,
2025:06:11:01:22:365,-42.822,-1.621,1.017,-0.250,0.000,-0.043,0.254,-2.268,0.000,-0.458,
2025:06:11:01:22:388,-42.844,-1.621,1.013,-0.466,0.000,-0.087,0.474,-3.884,0.000,-0.885,
2025:06:11:01:22:409,-42.860,-1.621,1.010,-0.957,0.000,-0.182,0.974,-3.884,0.000,-0.885,
2025:06:11:01:22:432,-42.868,-1.621,1.008,-0.450,0.000,-0.087,0.458,-3.884,0.000,-0.885,
2025:06:11:01:22:454,-42.892,-1.621,1.004,-0.514,0.000,-0.102,0.524,-3.884,0.000,-0.885,
2025:06:11:01:22:476,-42.908,-1.621,1.000,-0.965,0.000,-0.195,0.984,-3.884,0.000,-0.885,
2025:06:11:01:22:500,-42.916,-1.621,0.999,-0.503,0.000,-0.104,0.514,-0.856,0.000,-0.368,
2025:06:11:01:22:520,-42.940,-1.621,0.993,-0.473,0.000,-0.101,0.484,-0.856,0.000,-0.368,
2025:06:11:01:22:543,-42.958,-1.621,0.990,-1.037,0.000,-0.229,1.062,-0.856,0.000,-0.368,
2025:06:11:01:22:565,-42.966,-1.621,0.988,-0.478,0.000,-0.110,0.490,-0.856,0.000,-0.368,
