TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:10:45:44:873,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:45:46:026,0.000,160.000,0.000,0.332,-0.233,-0.914,-40.827,-0.025,-3.597,隧道,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:10:45:46:187,351.362,338.397,356.086,-0.439,-0.055,0.897,-43.757,-0.072,3.593,隧道,-42.648,0.067,1.328,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:10:45:46:226,351.197,338.400,356.104,-0.458,-0.050,0.887,-43.823,-0.060,3.594,隧道,-42.653,0.068,1.328,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:10:45:46:279,351.177,338.398,356.115,-0.399,-0.093,0.912,-43.624,-0.170,3.583,隧道,-42.638,0.059,1.329,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:10:45:46:333,351.121,338.404,356.139,-0.282,-0.260,0.924,-43.288,-0.597,3.541,隧道,-42.614,0.025,1.331,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:10:45:46:353,351.108,338.408,356.148,-0.278,-0.304,0.911,-43.283,-0.717,3.526,隧道,-42.614,0.015,1.332,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:10:45:46:383,351.080,338.401,356.165,-0.270,-0.353,0.896,-43.262,-0.846,3.487,隧道,-42.613,0.003,1.332,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:10:45:46:406,351.055,338.400,356.163,-0.267,-0.372,0.889,-43.255,-0.898,3.472,隧道,-42.613,-0.002,1.333,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:10:45:46:428,351.024,338.394,356.173,-0.262,-0.387,0.884,-43.243,-0.938,3.459,隧道,-42.613,-0.006,1.333,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:10:45:46:450,351.020,338.397,356.203,-0.261,-0.389,0.883,-43.240,-0.942,3.458,隧道,-42.612,-0.007,1.333,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:10:45:46:474,350.993,338.394,356.219,-0.262,-0.393,0.882,-43.243,-0.952,3.455,隧道,-42.613,-0.008,1.333,车中车厢左车门4-2,0.000,0.000,0.000,Null,
2025:06:10:45:46:495,350.941,338.422,356.177,-0.277,-0.390,0.878,-43.285,-0.950,3.456,隧道,-42.616,-0.007,1.333,车中车厢左车门4-2,0.000,0.000,0.000,Null,
