TimeStamp,HeadRotX,HeadRotY,HeadRotZ,GazeDirX,GazeDirY,GazeDirZ,Hit1_X,Hit1_Y,Hit1_Z,Hit1_Name,Hit2_X,Hit2_Y,Hit2_Z,Hit2_Name,Hit3_X,Hit3_Y,Hit3_Z,Hit3_Name
2025:06:15:35:16:466,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:35:17:650,0.000,160.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:35:17:760,357.118,166.337,357.900,0.000,0.000,0.000,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,0.000,0.000,0.000,Null,
2025:06:15:35:17:799,357.177,166.518,357.882,0.341,0.056,-0.939,-140.861,0.340,-3.566,隧道,-141.666,0.209,-1.349,车中车厢内部窗户皮,0.000,0.000,0.000,Null,
2025:06:15:35:17:848,357.117,166.472,357.889,0.322,0.075,-0.944,-140.959,0.431,-3.558,隧道,-141.715,0.254,-1.342,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:15:35:17:891,357.061,166.292,357.850,0.320,0.078,-0.944,-140.969,0.445,-3.556,隧道,-141.720,0.261,-1.341,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:15:35:17:911,357.122,166.276,357.877,0.295,0.081,-0.952,-141.100,0.454,-3.555,隧道,-141.720,0.261,-1.341,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:15:35:17:933,357.128,166.250,357.872,0.291,0.085,-0.953,-141.119,0.471,-3.554,隧道,-141.720,0.261,-1.341,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:15:35:17:955,357.043,166.252,357.887,0.290,0.092,-0.952,-141.121,0.505,-3.550,隧道,-141.720,0.261,-1.341,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:15:35:17:977,356.992,166.260,357.899,0.290,0.093,-0.952,-141.122,0.509,-3.550,隧道,-141.720,0.261,-1.341,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:15:35:17:999,356.957,166.268,357.947,0.290,0.096,-0.952,-141.123,0.522,-3.549,隧道,-141.720,0.261,-1.341,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:15:35:18:022,356.949,166.270,357.975,0.332,0.101,-0.938,-140.904,0.552,-3.546,隧道,-141.690,0.314,-1.331,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:15:35:18:043,356.932,166.236,358.017,0.342,0.104,-0.934,-140.856,0.570,-3.544,隧道,-141.666,0.323,-1.329,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:15:35:18:066,356.911,166.209,358.017,0.361,0.110,-0.926,-140.749,0.603,-3.541,隧道,-141.613,0.338,-1.326,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:15:35:18:088,356.914,166.170,358.011,0.360,0.112,-0.926,-140.753,0.612,-3.540,隧道,-141.616,0.343,-1.325,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:15:35:18:109,356.896,166.132,358.022,0.365,0.115,-0.924,-140.726,0.627,-3.538,隧道,-141.603,0.350,-1.323,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:15:35:18:133,356.872,166.090,358.035,0.364,0.117,-0.924,-140.731,0.635,-3.537,隧道,-141.605,0.354,-1.322,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:15:35:18:156,356.862,166.063,358.026,0.363,0.119,-0.924,-140.739,0.645,-3.536,隧道,-141.609,0.359,-1.321,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:15:35:18:177,356.840,166.059,358.026,0.362,0.120,-0.924,-140.744,0.648,-3.536,隧道,-141.612,0.361,-1.320,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:15:35:18:199,356.831,166.050,358.018,0.355,0.121,-0.927,-140.781,0.652,-3.536,隧道,-141.630,0.363,-1.320,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:15:35:18:221,356.809,166.064,357.996,0.352,0.122,-0.928,-140.797,0.656,-3.535,隧道,-141.638,0.364,-1.319,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:15:35:18:243,356.799,166.089,357.982,0.350,0.122,-0.929,-140.812,0.657,-3.535,隧道,-141.646,0.365,-1.319,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
2025:06:15:35:18:266,356.794,166.122,357.954,0.349,0.123,-0.929,-140.813,0.660,-3.535,隧道,-141.646,0.367,-1.319,车中车厢内部上部条纹,0.000,0.000,0.000,Null,
